Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Copiapó,,,"('Ramón', 'Rengifo', 'Cárdenas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Rengifo_Cárdenas
Vallenar,,,"('José', 'Gaspar', 'Marín', 'Esquivel')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gaspar_Marín_Esquivel
Vallenar,,,"('José', 'Santiago', 'Sánchez', 'Alfaro')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Santiago_Sánchez_Alfaro
La Serena,,,"('Pedro', 'Félix', 'Vicuña', 'Aguirre')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Félix_Vicuña_Aguirre
La Serena,,,"('Manuel', 'Antonio', 'González', 'Valenzuela')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_González_Valenzuela
Illapel,,,"('Pedro', 'José', 'Lira', 'Argomedo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_José_Lira_Argomedo
Illapel,,,"('Carlos', 'Rodríguez', 'Erdoyza')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Rodríguez_Erdoyza
Petorca,,,"('Juan', 'Bautista', 'García')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Bautista_García
Petorca,,,"('Manuel', 'José', 'Silva', 'Cabanillas')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_José_De_Silva_Cabanillas
La Ligua,,,"('José', 'Vicente', 'Larraín', 'Espinosa')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Vicente_Larraín_Espinosa
La Ligua,,,"('Tadeo', 'del Fierro', 'Illanes')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tadeo_Del_Fierro_Illanes
Los Andes,,,"('Manuel', 'Lillo')",,,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Lillo
Los Andes,,,"('Santiago', 'Etchevers', 'Santelices')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Santiago_de_Etcheverz_Santelices
Aconcagua,,,"('José', 'Manuel', 'Astorga', 'Camus')",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Manuel_de_Astorga_Camus
