Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
1,Falange Nacional,FN,"['Radomiro', 'Tomic', 'Romero']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Radomiro_Tomic_Romero
1,Frente Popular,PPN,"['Ángel', 'Veas', 'Alcayaga']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ángel_Veas_Alcayaga
1,Frente Popular,PR,"['Carlos', 'Morales', 'San Martín']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Morales_San_Martín
1,Frente Popular,PPN,"['Ricardo', 'Fonseca', 'Aguayo']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Fonseca_Aguayo
2,Frente Popular,PPN,"['José', 'Celestino', 'Díaz', 'Iturrieta']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Celestino_Díaz_Iturrieta
2,Frente Popular,PR,"['Fernando', 'Cisternas', 'Ortiz']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Cisternas_Ortiz
2,Frente Popular,PDo,"['Máximo', 'Venegas', 'Sepúlveda']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Máximo_Venegas_Sepúlveda
2,Frente Popular,PR,"['Pedro', 'Opitz', 'Velásquez']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Opitz_Velásquez
2,Frente Popular,PPN,"['Alfredo', 'Astudillo', 'Sieman']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfredo_Astudillo_Sieman
2,Frente Popular,PPN,"['Juan', 'Guerra', 'Guerra']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Guerra_Guerra
2,Partido Socialista,PS,"['Vicente', 'Segundo', 'Ruiz', 'Mondaca']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vicente_Segundo_Ruiz_Mondaca
3,Frente Popular,PR,"['Carlos', 'Melej', 'Nazar']",,,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Melej_Nazar
