Distrito,Lista/Pacto,Electos,Porcentaje,Votos
1,Vanguardia Popular Socialista,0,0.59,68.0
1,Falange Nacional,1,16.39,1904.0
1,Alianza Popular Libertadora,0,0.0,0.0
1,Partido Conservador,0,0.12,14.0
1,Partido Liberal,0,12.73,1479.0
1,Partido Democrático,0,0.0,0.0
1,Partido Agrario,0,0.0,0.0
1,Frente Popular,3,54.26,6302.0
1,Partido Socialista,0,15.9,1847.0
1,Partido Laborista,0,0.0,0.0
1,Partido Laborista Proletario,0,0.0,0.0
1,Partido Radical Socialista Obrero,0,0.0,0.0
1,Partido Regionalista de Magallanes,0,0.0,0.0
1,Candidatura Independiente,0,0.0,0.0
1,Válidamente emitidos,0,100.0,11614.0
1,Blancos/Nulos,0,0.0,0.0
1,Total,0,100.0,11614.0
2,Vanguardia Popular Socialista,0,0.0,0.0
2,Falange Nacional,0,8.57,1557.0
2,Alianza Popular Libertadora,0,0.0,0.0
2,Partido Conservador,0,8.33,1514.0
2,Partido Liberal,0,1.17,213.0
2,Partido Democrático,0,0.0,0.0
2,Partido Agrario,0,0.0,0.0
2,Frente Popular,6,66.21,12026.0
2,Partido Socialista,1,15.72,2855.0
2,Partido Laborista,0,0.0,0.0
2,Partido Laborista Proletario,0,0.0,0.0
2,Partido Radical Socialista Obrero,0,0.0,0.0
2,Partido Regionalista de Magallanes,0,0.0,0.0
2,Candidatura Independiente,0,0.0,0.0
2,Válidamente emitidos,0,100.0,18165.0
2,Blancos/Nulos,0,0.0,0.0
2,Total,0,100.0,18165.0
3,Vanguardia Popular Socialista,0,0.0,0.0
3,Falange Nacional,0,0.0,0.0
3,Alianza Popular Libertadora,0,0.0,0.0
3,Partido Conservador,0,11.85,938.0
3,Partido Liberal,0,7.88,624.0
3,Partido Democrático,0,0.0,0.0
3,Partido Agrario,0,0.0,0.0
3,Frente Popular,2,59.0,4671.0
3,Partido Socialista,0,21.27,1684.0
3,Partido Laborista,0,0.0,0.0
3,Partido Laborista Proletario,0,0.0,0.0
3,Partido Radical Socialista Obrero,0,0.0,0.0
3,Partido Regionalista de Magallanes,0,0.0,0.0
3,Candidatura Independiente,0,0.0,0.0
3,Válidamente emitidos,0,100.0,7917.0
3,Blancos/Nulos,0,0.0,0.0
3,Total,0,100.0,7917.0
4,Vanguardia Popular Socialista,0,0.0,0.0
4,Falange Nacional,0,4.02,796.0
4,Alianza Popular Libertadora,0,0.0,0.0
4,Partido Conservador,0,7.48,1481.0
4,Partido Liberal,2,20.91,4142.0
4,Partido Democrático,0,0.0,0.0
4,Partido Agrario,0,0.0,0.0
4,Frente Popular,4,52.91,10483.0
4,Partido Socialista,1,14.69,2910.0
4,Partido Laborista,0,0.0,0.0
4,Partido Laborista Proletario,0,0.0,0.0
4,Partido Radical Socialista Obrero,0,0.0,0.0
4,Partido Regionalista de Magallanes,0,0.0,0.0
4,Candidatura Independiente,0,0.0,0.0
4,Válidamente emitidos,0,100.0,19812.0
4,Blancos/Nulos,0,0.0,0.0
4,Total,0,100.0,19812.0
5,Vanguardia Popular Socialista,0,0.0,0.0
5,Falange Nacional,0,0.69,84.0
5,Alianza Popular Libertadora,0,0.0,0.0
5,Partido Conservador,1,19.31,2344.0
5,Partido Liberal,1,24.36,2956.0
5,Partido Democrático,0,0.0,0.0
5,Partido Agrario,0,0.0,0.0
5,Frente Popular,1,37.959999999999994,4607.0
5,Partido Socialista,0,17.68,2146.0
5,Partido Laborista,0,0.0,0.0
5,Partido Laborista Proletario,0,0.0,0.0
5,Partido Radical Socialista Obrero,0,0.0,0.0
5,Partido Regionalista de Magallanes,0,0.0,0.0
5,Candidatura Independiente,0,0.0,0.0
5,Válidamente emitidos,0,100.0,12137.0
5,Blancos/Nulos,0,0.0,0.0
5,Total,0,100.0,12137.0
6,Vanguardia Popular Socialista,0,3.34,1447.0
6,Falange Nacional,1,6.8,2942.0
6,Alianza Popular Libertadora,0,1.65,714.0
6,Partido Conservador,3,17.85,7724.0
6,Partido Liberal,2,16.63,7198.0
6,Partido Democrático,0,1.01,436.0
6,Partido Agrario,0,0.0,0.0
6,Frente Popular,4,34.300000000000004,14848.0
6,Partido Socialista,2,18.32,7928.0
6,Partido Laborista,0,0.0,0.0
6,Partido Laborista Proletario,0,0.0,0.0
6,Partido Radical Socialista Obrero,0,0.0,0.0
6,Partido Regionalista de Magallanes,0,0.0,0.0
6,Candidatura Independiente,0,0.0,0.0
6,Válidamente emitidos,0,99.89,43237.0
6,Blancos/Nulos,0,0.11,46.0
6,Total,0,100.0,43283.0
8,Vanguardia Popular Socialista,0,5.22,5906.0
8,Falange Nacional,0,3.95,4475.0
8,Alianza Popular Libertadora,0,0.23,260.0
8,Partido Conservador,2,20.34,23020.0
8,Partido Liberal,1,9.89,11196.0
8,Partido Democrático,0,0.22,246.0
8,Partido Agrario,0,0.0,0.0
8,Frente Popular,1,40.17,45474.0
8,Partido Socialista,1,18.55,20999.0
8,Partido Laborista,0,0.0,0.0
8,Partido Laborista Proletario,0,0.0,0.0
8,Partido Radical Socialista Obrero,0,0.0,0.0
8,Partido Regionalista de Magallanes,0,0.0,0.0
8,Candidatura Independiente,0,0.0,0.0
8,Válidamente emitidos,0,98.57,111576.0
8,Blancos/Nulos,0,1.43,1620.0
8,Total,0,100.0,113196.0
9,Vanguardia Popular Socialista,0,1.42,269.0
9,Falange Nacional,0,4.78,907.0
9,Alianza Popular Libertadora,0,0.0,0.0
9,Partido Conservador,2,24.48,4644.0
9,Partido Liberal,1,16.98,3222.0
9,Partido Democrático,0,0.21,39.0
9,Partido Agrario,0,0.0,0.0
9,Frente Popular,2,34.3,6508.0
9,Partido Socialista,1,17.81,3379.0
9,Partido Laborista,0,0.0,0.0
9,Partido Laborista Proletario,0,0.0,0.0
9,Partido Radical Socialista Obrero,0,0.0,0.0
9,Partido Regionalista de Magallanes,0,0.0,0.0
9,Candidatura Independiente,0,0.0,0.0
9,Válidamente emitidos,0,99.97,18968.0
9,Blancos/Nulos,0,0.03,6.0
9,Total,0,100.0,18974.0
10,Vanguardia Popular Socialista,0,0.0,0.0
10,Falange Nacional,0,0.0,0.0
10,Alianza Popular Libertadora,0,0.0,0.0
10,Partido Conservador,1,28.45,3466.0
10,Partido Liberal,1,18.29,2228.0
10,Partido Democrático,0,2.04,248.0
10,Partido Agrario,0,0.0,0.0
10,Frente Popular,1,20.32,2476.0
10,Partido Socialista,1,27.98,3409.0
10,Partido Laborista,0,0.0,0.0
10,Partido Laborista Proletario,0,0.0,0.0
10,Partido Radical Socialista Obrero,0,0.0,0.0
10,Partido Regionalista de Magallanes,0,0.0,0.0
10,Candidatura Independiente,0,0.0,0.0
10,Válidamente emitidos,0,97.07,11827.0
10,Blancos/Nulos,0,2.93,357.0
10,Total,0,100.0,12184.0
11,Vanguardia Popular Socialista,0,0.0,0.0
11,Falange Nacional,0,0.0,0.0
11,Alianza Popular Libertadora,0,0.0,0.0
11,Partido Conservador,1,23.49,1702.0
11,Partido Liberal,1,22.27,1614.0
11,Partido Democrático,0,0.52,38.0
11,Partido Agrario,0,0.0,0.0
11,Frente Popular,1,40.769999999999996,2954.0
11,Partido Socialista,0,12.92,936.0
11,Partido Laborista,0,0.0,0.0
11,Partido Laborista Proletario,0,0.0,0.0
11,Partido Radical Socialista Obrero,0,0.0,0.0
11,Partido Regionalista de Magallanes,0,0.0,0.0
11,Candidatura Independiente,0,0.0,0.0
11,Válidamente emitidos,0,99.96,7244.0
11,Blancos/Nulos,0,0.04,3.0
11,Total,0,100.0,7247.0
12,Vanguardia Popular Socialista,0,2.69,368.0
12,Falange Nacional,0,3.26,445.0
12,Alianza Popular Libertadora,0,3.57,488.0
12,Partido Conservador,2,26.68,3645.0
12,Partido Liberal,1,13.84,1891.0
12,Partido Democrático,0,0.0,0.0
12,Partido Agrario,0,7.27,993.0
12,Frente Popular,2,30.17,4122.0
12,Partido Socialista,0,12.51,1709.0
12,Partido Laborista,0,0.0,0.0
12,Partido Laborista Proletario,0,0.0,0.0
12,Partido Radical Socialista Obrero,0,0.0,0.0
12,Partido Regionalista de Magallanes,0,0.0,0.0
12,Candidatura Independiente,0,0.0,0.0
12,Válidamente emitidos,0,100.0,13661.0
12,Blancos/Nulos,0,0.0,0.0
12,Total,0,100.0,13661.0
13,Vanguardia Popular Socialista,0,0.0,0.0
13,Falange Nacional,0,1.59,112.0
13,Alianza Popular Libertadora,0,0.0,0.0
13,Partido Conservador,1,21.35,1500.0
13,Partido Liberal,1,33.06,2323.0
13,Partido Democrático,0,0.0,0.0
13,Partido Agrario,0,0.0,0.0
13,Frente Popular,1,38.269999999999996,2689.0
13,Partido Socialista,0,5.71,401.0
13,Partido Laborista,0,0.0,0.0
13,Partido Laborista Proletario,0,0.0,0.0
13,Partido Radical Socialista Obrero,0,0.0,0.0
13,Partido Regionalista de Magallanes,0,0.0,0.0
13,Candidatura Independiente,0,0.0,0.0
13,Válidamente emitidos,0,99.99,7025.0
13,Blancos/Nulos,0,0.01,1.0
13,Total,0,100.0,7026.0
14,Vanguardia Popular Socialista,0,0.0,0.0
14,Falange Nacional,0,3.72,449.0
14,Alianza Popular Libertadora,0,0.0,0.0
14,Partido Conservador,1,24.84,2997.0
14,Partido Liberal,1,14.68,1771.0
14,Partido Democrático,0,0.21,25.0
14,Partido Agrario,1,12.62,1522.0
14,Frente Popular,1,26.95,3252.0
14,Partido Socialista,0,16.98,2049.0
14,Partido Laborista,0,0.0,0.0
14,Partido Laborista Proletario,0,0.0,0.0
14,Partido Radical Socialista Obrero,0,0.0,0.0
14,Partido Regionalista de Magallanes,0,0.0,0.0
14,Candidatura Independiente,0,0.0,0.0
14,Válidamente emitidos,0,100.0,12065.0
14,Blancos/Nulos,0,0.0,0.0
14,Total,0,100.0,12065.0
15,Vanguardia Popular Socialista,0,0.0,0.0
15,Falange Nacional,0,0.6,127.0
15,Alianza Popular Libertadora,0,0.0,0.0
15,Partido Conservador,1,28.77,6121.0
15,Partido Liberal,1,14.85,3160.0
15,Partido Democrático,0,0.0,0.0
15,Partido Agrario,0,5.07,1078.0
15,Frente Popular,1,71.4,15190.0
15,Partido Socialista,0,11.12,2365.0
15,Partido Laborista,0,0.0,0.0
15,Partido Laborista Proletario,0,0.0,0.0
15,Partido Radical Socialista Obrero,0,0.0,0.0
15,Partido Regionalista de Magallanes,0,0.0,0.0
15,Candidatura Independiente,0,0.0,0.0
15,Válidamente emitidos,0,131.8,28041.0
15,Blancos/Nulos,0,-31.8,-6766.0
15,Total,0,100.0,21275.0
16,Vanguardia Popular Socialista,0,0.0,0.0
16,Falange Nacional,0,0.6,127.0
16,Alianza Popular Libertadora,0,0.0,0.0
16,Partido Conservador,2,28.77,6121.0
16,Partido Liberal,1,14.85,3160.0
