Distrito,Lista/Pacto,Partido,Electos,Porcentaje,Votos
1,Vanguardia Popular Socialista,VPS,0,0.59,68.0
1,Falange Nacional,FN,1,16.39,1904.0
1,Alianza Popular Libertadora,APL,0,0.0,0.0
1,Partido Conservador,PCon,0,0.12,14.0
1,Partido Liberal,PL,0,12.73,1479.0
1,Partido Democrático,PD,0,0.0,0.0
1,Partido Agrario,PA,0,0.0,0.0
1,Frente Popular,PST,0,3.41,396.0
1,Frente Popular,PRS,0,0.0,0.0
1,Frente Popular,PR,1,18.99,2206.0
1,Frente Popular,PPN,2,31.86,3700.0
1,Frente Popular,PDo,0,0.0,0.0
1,Partido Socialista,PS,0,15.9,1847.0
1,Partido Laborista,PLa,0,0.0,0.0
1,Partido Laborista Proletario,PLPr,0,0.0,0.0
1,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
1,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
1,Candidatura Independiente,IND,0,0.0,0.0
1,Válidamente emitidos,,0,100.0,11614.0
1,Blancos/Nulos,,0,0.0,0.0
1,Total,,0,100.0,11614.0
2,Vanguardia Popular Socialista,VPS,0,0.0,0.0
2,Falange Nacional,FN,0,8.57,1557.0
2,Alianza Popular Libertadora,APL,0,0.0,0.0
2,Partido Conservador,PCon,0,8.33,1514.0
2,Partido Liberal,PL,0,1.17,213.0
2,Partido Democrático,PD,0,0.0,0.0
2,Partido Agrario,PA,0,0.0,0.0
2,Frente Popular,PDo,1,4.97,903.0
2,Frente Popular,PST,0,2.47,449.0
2,Frente Popular,PPN,3,41.37,7514.0
2,Frente Popular,PR,2,17.4,3160.0
2,Frente Popular,PRS,0,0.0,0.0
2,Partido Socialista,PS,1,15.72,2855.0
2,Partido Laborista,PLa,0,0.0,0.0
2,Partido Laborista Proletario,PLPr,0,0.0,0.0
2,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
2,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
2,Candidatura Independiente,IND,0,0.0,0.0
2,Válidamente emitidos,,0,100.0,18165.0
2,Blancos/Nulos,,0,0.0,0.0
2,Total,,0,100.0,18165.0
3,Vanguardia Popular Socialista,VPS,0,0.0,0.0
3,Falange Nacional,FN,0,0.0,0.0
3,Alianza Popular Libertadora,APL,0,0.0,0.0
3,Partido Conservador,PCon,0,11.85,938.0
3,Partido Liberal,PL,0,7.88,624.0
3,Partido Democrático,PD,0,0.0,0.0
3,Partido Agrario,PA,0,0.0,0.0
3,Frente Popular,PDo,0,0.0,0.0
3,Frente Popular,PPN,0,0.0,0.0
3,Frente Popular,PST,0,3.93,311.0
3,Frente Popular,PR,2,55.07,4360.0
3,Frente Popular,PRS,0,0.0,0.0
3,Partido Socialista,PS,0,21.27,1684.0
3,Partido Laborista,PLa,0,0.0,0.0
3,Partido Laborista Proletario,PLPr,0,0.0,0.0
3,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
3,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
3,Candidatura Independiente,IND,0,0.0,0.0
3,Válidamente emitidos,,0,100.0,7917.0
3,Blancos/Nulos,,0,0.0,0.0
3,Total,,0,100.0,7917.0
4,Vanguardia Popular Socialista,VPS,0,0.0,0.0
4,Falange Nacional,FN,0,4.02,796.0
4,Alianza Popular Libertadora,APL,0,0.0,0.0
4,Partido Conservador,PCon,0,7.48,1481.0
4,Partido Liberal,PL,2,20.91,4142.0
4,Partido Democrático,PD,0,0.0,0.0
4,Partido Agrario,PA,0,0.0,0.0
4,Frente Popular,PDo,0,1.56,310.0
4,Frente Popular,PPN,1,20.88,4136.0
4,Frente Popular,PR,3,28.92,5729.0
4,Frente Popular,PST,0,1.55,308.0
4,Frente Popular,PRS,0,0.0,0.0
4,Partido Socialista,PS,1,14.69,2910.0
4,Partido Laborista,PLa,0,0.0,0.0
4,Partido Laborista Proletario,PLPr,0,0.0,0.0
4,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
4,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
4,Candidatura Independiente,IND,0,0.0,0.0
4,Válidamente emitidos,,0,100.0,19812.0
4,Blancos/Nulos,,0,0.0,0.0
4,Total,,0,100.0,19812.0
5,Vanguardia Popular Socialista,VPS,0,0.0,0.0
5,Falange Nacional,FN,0,0.69,84.0
5,Alianza Popular Libertadora,APL,0,0.0,0.0
5,Partido Conservador,PCon,1,19.31,2344.0
5,Partido Liberal,PL,1,24.36,2956.0
5,Partido Democrático,PD,0,0.0,0.0
5,Partido Agrario,PA,0,0.0,0.0
5,Frente Popular,PRS,0,0.0,0.0
5,Frente Popular,PDo,0,0.26,32.0
5,Frente Popular,PST,0,0.0,0.0
5,Frente Popular,PR,1,22.66,2750.0
5,Frente Popular,PPN,0,15.04,1825.0
5,Partido Socialista,PS,0,17.68,2146.0
5,Partido Laborista,PLa,0,0.0,0.0
5,Partido Laborista Proletario,PLPr,0,0.0,0.0
5,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
5,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
5,Candidatura Independiente,IND,0,0.0,0.0
5,Válidamente emitidos,,0,100.0,12137.0
5,Blancos/Nulos,,0,0.0,0.0
5,Total,,0,100.0,12137.0
6,Vanguardia Popular Socialista,VPS,0,3.34,1447.0
6,Falange Nacional,FN,1,6.8,2942.0
6,Alianza Popular Libertadora,APL,0,1.65,714.0
6,Partido Conservador,PCon,3,17.85,7724.0
6,Partido Liberal,PL,2,16.63,7198.0
6,Partido Democrático,PD,0,1.01,436.0
6,Partido Agrario,PA,0,0.0,0.0
6,Frente Popular,PDo,0,2.18,942.0
6,Frente Popular,PR,2,16.48,7135.0
6,Frente Popular,PST,0,2.13,924.0
6,Frente Popular,PPN,2,12.63,5466.0
6,Frente Popular,PRS,0,0.88,381.0
6,Partido Socialista,PS,2,18.32,7928.0
6,Partido Laborista,PLa,0,0.0,0.0
6,Partido Laborista Proletario,PLPr,0,0.0,0.0
6,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
6,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
6,Candidatura Independiente,IND,0,0.0,0.0
6,Válidamente emitidos,,0,99.89,43237.0
6,Blancos/Nulos,,0,0.11,46.0
6,Total,,0,100.0,43283.0
8,Vanguardia Popular Socialista,VPS,0,5.22,5906.0
8,Falange Nacional,FN,0,3.95,4475.0
8,Alianza Popular Libertadora,APL,0,0.23,260.0
8,Partido Conservador,PCon,2,20.34,23020.0
8,Partido Liberal,PL,1,9.89,11196.0
8,Partido Democrático,PD,0,0.22,246.0
8,Partido Agrario,PA,0,0.0,0.0
8,Frente Popular,PDo,0,7.42,8395.0
8,Frente Popular,PPN,0,10.95,12397.0
8,Frente Popular,PRS,0,3.16,3575.0
8,Frente Popular,PST,0,3.81,4317.0
8,Frente Popular,PR,1,14.83,16790.0
8,Partido Socialista,PS,1,18.55,20999.0
8,Partido Laborista,PLa,0,0.0,0.0
8,Partido Laborista Proletario,PLPr,0,0.0,0.0
8,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
8,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
8,Candidatura Independiente,IND,0,0.0,0.0
8,Válidamente emitidos,,0,98.57,111576.0
8,Blancos/Nulos,,0,1.43,1620.0
8,Total,,0,100.0,113196.0
9,Vanguardia Popular Socialista,VPS,0,1.42,269.0
9,Falange Nacional,FN,0,4.78,907.0
9,Alianza Popular Libertadora,APL,0,0.0,0.0
9,Partido Conservador,PCon,2,24.48,4644.0
9,Partido Liberal,PL,1,16.98,3222.0
9,Partido Democrático,PD,0,0.21,39.0
9,Partido Agrario,PA,0,0.0,0.0
9,Frente Popular,PDo,0,0.18,35.0
9,Frente Popular,PRS,0,0.0,0.0
9,Frente Popular,PST,0,4.99,947.0
9,Frente Popular,PPN,1,14.18,2690.0
9,Frente Popular,PR,1,14.95,2836.0
9,Partido Socialista,PS,1,17.81,3379.0
9,Partido Laborista,PLa,0,0.0,0.0
9,Partido Laborista Proletario,PLPr,0,0.0,0.0
9,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
9,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
9,Candidatura Independiente,IND,0,0.0,0.0
9,Válidamente emitidos,,0,99.97,18968.0
9,Blancos/Nulos,,0,0.03,6.0
9,Total,,0,100.0,18974.0
10,Vanguardia Popular Socialista,VPS,0,0.0,0.0
10,Falange Nacional,FN,0,0.0,0.0
10,Alianza Popular Libertadora,APL,0,0.0,0.0
10,Partido Conservador,PCon,1,28.45,3466.0
10,Partido Liberal,PL,1,18.29,2228.0
10,Partido Democrático,PD,0,2.04,248.0
10,Partido Agrario,PA,0,0.0,0.0
10,Frente Popular,PDo,0,0.74,90.0
10,Frente Popular,PST,0,0.96,117.0
10,Frente Popular,PR,1,15.56,1896.0
10,Frente Popular,PPN,0,3.06,373.0
10,Frente Popular,PRS,0,0.0,0.0
10,Partido Socialista,PS,1,27.98,3409.0
10,Partido Laborista,PLa,0,0.0,0.0
10,Partido Laborista Proletario,PLPr,0,0.0,0.0
10,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
10,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
10,Candidatura Independiente,IND,0,0.0,0.0
10,Válidamente emitidos,,0,97.07,11827.0
10,Blancos/Nulos,,0,2.93,357.0
10,Total,,0,100.0,12184.0
11,Vanguardia Popular Socialista,VPS,0,0.0,0.0
11,Falange Nacional,FN,0,0.0,0.0
11,Alianza Popular Libertadora,APL,0,0.0,0.0
11,Partido Conservador,PCon,1,23.49,1702.0
11,Partido Liberal,PL,1,22.27,1614.0
11,Partido Democrático,PD,0,0.52,38.0
11,Partido Agrario,PA,0,0.0,0.0
11,Frente Popular,PDo,0,5.08,368.0
11,Frente Popular,PPN,0,16.81,1218.0
11,Frente Popular,PR,1,18.88,1368.0
11,Frente Popular,PRS,0,0.0,0.0
11,Frente Popular,PST,0,0.0,0.0
11,Partido Socialista,PS,0,12.92,936.0
11,Partido Laborista,PLa,0,0.0,0.0
11,Partido Laborista Proletario,PLPr,0,0.0,0.0
11,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
11,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
11,Candidatura Independiente,IND,0,0.0,0.0
11,Válidamente emitidos,,0,99.96,7244.0
11,Blancos/Nulos,,0,0.04,3.0
11,Total,,0,100.0,7247.0
12,Vanguardia Popular Socialista,VPS,0,2.69,368.0
12,Falange Nacional,FN,0,3.26,445.0
12,Alianza Popular Libertadora,APL,0,3.57,488.0
12,Partido Conservador,PCon,2,26.68,3645.0
12,Partido Liberal,PL,1,13.84,1891.0
12,Partido Democrático,PD,0,0.0,0.0
12,Partido Agrario,PA,0,7.27,993.0
12,Frente Popular,PDo,0,1.57,215.0
12,Frente Popular,PPN,1,13.15,1797.0
12,Frente Popular,PR,1,14.55,1987.0
12,Frente Popular,PRS,0,0.0,0.0
12,Frente Popular,PST,0,0.9,123.0
12,Partido Socialista,PS,0,12.51,1709.0
12,Partido Laborista,PLa,0,0.0,0.0
12,Partido Laborista Proletario,PLPr,0,0.0,0.0
12,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
12,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
12,Candidatura Independiente,IND,0,0.0,0.0
12,Válidamente emitidos,,0,100.0,13661.0
12,Blancos/Nulos,,0,0.0,0.0
12,Total,,0,100.0,13661.0
13,Vanguardia Popular Socialista,VPS,0,0.0,0.0
13,Falange Nacional,FN,0,1.59,112.0
13,Alianza Popular Libertadora,APL,0,0.0,0.0
13,Partido Conservador,PCon,1,21.35,1500.0
13,Partido Liberal,PL,1,33.06,2323.0
13,Partido Democrático,PD,0,0.0,0.0
13,Partido Agrario,PA,0,0.0,0.0
13,Frente Popular,PDo,0,2.96,208.0
13,Frente Popular,PPN,0,0.0,0.0
13,Frente Popular,PR,1,34.26,2407.0
13,Frente Popular,PRS,0,1.05,74.0
13,Frente Popular,PST,0,0.0,0.0
13,Partido Socialista,PS,0,5.71,401.0
13,Partido Laborista,PLa,0,0.0,0.0
13,Partido Laborista Proletario,PLPr,0,0.0,0.0
13,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
13,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
13,Candidatura Independiente,IND,0,0.0,0.0
13,Válidamente emitidos,,0,99.99,7025.0
13,Blancos/Nulos,,0,0.01,1.0
13,Total,,0,100.0,7026.0
14,Vanguardia Popular Socialista,VPS,0,0.0,0.0
14,Falange Nacional,FN,0,3.72,449.0
14,Alianza Popular Libertadora,APL,0,0.0,0.0
14,Partido Conservador,PCon,1,24.84,2997.0
14,Partido Liberal,PL,1,14.68,1771.0
14,Partido Democrático,PD,0,0.21,25.0
14,Partido Agrario,PA,1,12.62,1522.0
14,Frente Popular,PDo,0,4.88,589.0
14,Frente Popular,PPN,0,0.0,0.0
14,Frente Popular,PR,1,18.21,2197.0
14,Frente Popular,PRS,0,0.1,12.0
14,Frente Popular,PST,0,3.76,454.0
14,Partido Socialista,PS,0,16.98,2049.0
14,Partido Laborista,PLa,0,0.0,0.0
14,Partido Laborista Proletario,PLPr,0,0.0,0.0
14,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
14,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
14,Candidatura Independiente,IND,0,0.0,0.0
14,Válidamente emitidos,,0,100.0,12065.0
14,Blancos/Nulos,,0,0.0,0.0
14,Total,,0,100.0,12065.0
15,Vanguardia Popular Socialista,VPS,0,0.0,0.0
15,Falange Nacional,FN,0,0.6,127.0
15,Alianza Popular Libertadora,APL,0,0.0,0.0
15,Partido Conservador,PCon,1,28.77,6121.0
15,Partido Liberal,PL,1,14.85,3160.0
15,Partido Democrático,PD,0,0.0,0.0
15,Partido Agrario,PA,0,5.07,1078.0
15,Frente Popular,PPN,0,3.69,784.0
15,Frente Popular,PDo,0,35.02,7451.0
15,Frente Popular,PR,1,26.2,5575.0
15,Frente Popular,PRS,0,4.7,1000.0
15,Frente Popular,PST,0,1.79,380.0
15,Partido Socialista,PS,0,11.12,2365.0
15,Partido Laborista,PLa,0,0.0,0.0
15,Partido Laborista Proletario,PLPr,0,0.0,0.0
15,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
15,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
15,Candidatura Independiente,IND,0,0.0,0.0
15,Válidamente emitidos,,0,131.8,28041.0
15,Blancos/Nulos,,0,-31.8,-6766.0
15,Total,,0,100.0,21275.0
16,Vanguardia Popular Socialista,VPS,0,0.0,0.0
16,Falange Nacional,FN,0,0.6,127.0
16,Alianza Popular Libertadora,APL,0,0.0,0.0
16,Partido Conservador,PCon,2,28.77,6121.0
16,Partido Liberal,PL,1,14.85,3160.0
16,Partido Democrático,PD,0,0.0,0.0
16,Partido Agrario,PA,0,5.07,1078.0
16,Frente Popular,PST,0,1.79,380.0
16,Frente Popular,PRS,0,4.7,1000.0
16,Frente Popular,PR,2,26.2,5575.0
16,Frente Popular,PPN,0,3.69,784.0
16,Frente Popular,PDo,0,35.02,7451.0
16,Partido Socialista,PS,0,11.12,2365.0
16,Partido Laborista,PLa,0,0.0,0.0
16,Partido Laborista Proletario,PLPr,0,0.0,0.0
16,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
16,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
16,Candidatura Independiente,IND,0,0.0,0.0
16,Válidamente emitidos,,0,131.8,28041.0
16,Blancos/Nulos,,0,-31.8,-6766.0
16,Total,,0,100.0,21275.0
17,Vanguardia Popular Socialista,VPS,0,2.63,753.0
17,Falange Nacional,FN,0,1.97,566.0
17,Alianza Popular Libertadora,APL,0,0.01,4.0
17,Partido Conservador,PCon,1,12.21,3500.0
17,Partido Liberal,PL,1,5.32,1524.0
17,Partido Democrático,PD,0,10.18,2919.0
17,Partido Agrario,PA,0,0.0,0.0
17,Frente Popular,PDo,2,4.59,1315.0
17,Frente Popular,PPN,2,20.14,5773.0
17,Frente Popular,PR,2,21.81,6252.0
17,Frente Popular,PRS,0,0.0,0.0
17,Frente Popular,PST,1,11.75,3368.0
17,Partido Socialista,PS,0,9.38,2687.0
17,Partido Laborista,PLa,0,0.0,0.0
17,Partido Laborista Proletario,PLPr,0,0.0,0.0
17,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
17,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
17,Candidatura Independiente,IND,0,0.0,0.0
17,Válidamente emitidos,,0,100.0,28661.0
17,Blancos/Nulos,,0,0.0,0.0
17,Total,,0,100.0,28661.0
18,Vanguardia Popular Socialista,VPS,0,0.0,0.0
18,Falange Nacional,FN,0,0.0,0.0
18,Alianza Popular Libertadora,APL,0,0.0,0.0
18,Partido Conservador,PCon,0,0.0,0.0
18,Partido Liberal,PL,0,11.0,592.0
18,Partido Democrático,PD,0,0.0,0.0
18,Partido Agrario,PA,0,5.82,313.0
18,Frente Popular,PST,0,0.0,0.0
18,Frente Popular,PR,1,29.72,1599.0
18,Frente Popular,PRS,0,0.0,0.0
18,Frente Popular,PDo,0,0.17,9.0
18,Frente Popular,PPN,1,34.94,1880.0
18,Partido Socialista,PS,0,18.35,987.0
18,Partido Laborista,PLa,0,0.0,0.0
18,Partido Laborista Proletario,PLPr,0,0.0,0.0
18,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
18,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
18,Candidatura Independiente,IND,0,0.0,0.0
18,Válidamente emitidos,,0,100.0,5380.0
18,Blancos/Nulos,,0,0.0,0.0
18,Total,,0,100.0,5380.0
19,Vanguardia Popular Socialista,VPS,0,0.0,0.0
19,Falange Nacional,FN,0,2.23,274.0
19,Alianza Popular Libertadora,APL,0,0.0,0.0
19,Partido Conservador,PCon,1,21.11,2595.0
19,Partido Liberal,PL,1,19.02,2338.0
19,Partido Democrático,PD,0,0.59,72.0
19,Partido Agrario,PA,0,0.0,0.0
19,Frente Popular,PR,1,30.66,3768.0
19,Frente Popular,PRS,0,0.0,0.0
19,Frente Popular,PPN,0,0.0,0.0
19,Frente Popular,PDo,1,9.24,1135.0
19,Frente Popular,PST,0,0.0,0.0
19,Partido Socialista,PS,0,17.15,2108.0
19,Partido Laborista,PLa,0,0.0,0.0
19,Partido Laborista Proletario,PLPr,0,0.0,0.0
19,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
19,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
19,Candidatura Independiente,IND,0,0.0,0.0
19,Válidamente emitidos,,0,100.0,12290.0
