Circunscripción,Lista/Pacto,Partido,Electos,Porcentaje,Votos
2,Vanguardia Popular Socialista,VPS,0,0.0,0.0
2,Falange Nacional,FN,0,4.44,1228.0
2,Alianza Popular Libertadora,APL,0,0.0,0.0
2,Partido Conservador,PCon,0,0.0,0.0
2,Partido Liberal,PL,1,24.84,6873.0
2,Partido Democrático,PD,0,0.02,5.0
2,Partido Agrario,PA,0,0.0,0.0
2,Frente Popular,PR,2,32.94,9113.0
2,Frente Popular,PPN,1,20.51,5676.0
2,Frente Popular,PDo,0,0.83,230.0
2,Frente Popular,PST,0,0.0,0.0
2,Frente Popular,PRS,0,0.0,0.0
2,Partido Socialista,PS,1,16.42,4544.0
2,Partido Laborista,PLa,0,0.0,0.0
2,Partido Laborista Proletario,PLPr,0,0.0,0.0
2,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
2,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
2,Candidatura Independiente,IND,0,0.0,0.0
2,Válidamente emitidos,,0,100.0,27669.0
4,Vanguardia Popular Socialista,VPS,0,0.0,0.0
4,Falange Nacional,FN,0,0.0,0.0
4,Alianza Popular Libertadora,APL,0,0.67,762.0
4,Partido Conservador,PCon,2,27.96,32010.0
4,Partido Liberal,PL,0,10.82,12391.0
4,Partido Democrático,PD,0,0.1,120.0
4,Partido Agrario,PA,0,0.0,0.0
4,Frente Popular,PRS,0,0.0,0.0
4,Frente Popular,PPN,1,14.48,16572.0
4,Frente Popular,PST,0,0.0,0.0
4,Frente Popular,PDo,0,7.3,8361.0
4,Frente Popular,PR,1,15.35,17576.0
4,Partido Socialista,PS,1,18.18,20812.0
4,Partido Laborista,PLa,0,5.13,5877.0
4,Partido Laborista Proletario,PLPr,0,0.0,0.0
4,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
4,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
4,Candidatura Independiente,IND,0,0.0,0.0
4,Válidamente emitidos,,0,100.0,114481.0
6,Vanguardia Popular Socialista,VPS,0,0.0,0.0
6,Falange Nacional,FN,0,0.0,0.0
6,Alianza Popular Libertadora,APL,0,0.0,0.0
6,Partido Conservador,PCon,2,31.0,12177.0
6,Partido Liberal,PL,1,21.97,8630.0
6,Partido Democrático,PD,0,0.0,0.0
6,Partido Agrario,PA,0,0.0,0.0
6,Frente Popular,PR,1,20.78,8164.0
6,Frente Popular,PPN,1,10.41,4088.0
6,Frente Popular,PDo,0,3.44,1351.0
6,Frente Popular,PRS,0,0.0,0.0
6,Frente Popular,PST,0,0.0,0.0
6,Partido Socialista,PS,0,12.4,4872.0
6,Partido Laborista,PLa,0,0.0,0.0
6,Partido Laborista Proletario,PLPr,0,0.0,0.0
6,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
6,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
6,Candidatura Independiente,IND,0,0.0,0.0
6,Válidamente emitidos,,0,100.0,39282.0
8,Vanguardia Popular Socialista,VPS,0,0.0,0.0
8,Falange Nacional,FN,0,0.0,0.0
8,Alianza Popular Libertadora,APL,0,0.0,0.0
8,Partido Conservador,PCon,1,15.87,8263.0
8,Partido Liberal,PL,1,19.35,10071.0
8,Partido Democrático,PD,0,4.37,2274.0
8,Partido Agrario,PA,1,7.41,3855.0
8,Frente Popular,PPN,0,4.06,2113.0
8,Frente Popular,PDo,0,5.73,2982.0
8,Frente Popular,PRS,0,0.0,0.0
8,Frente Popular,PST,0,0.0,0.0
8,Frente Popular,PR,2,28.56,14866.0
8,Partido Socialista,PS,0,14.66,7629.0
8,Partido Laborista,PLa,0,0.0,0.0
8,Partido Laborista Proletario,PLPr,0,0.0,0.0
8,Partido Radical Socialista Obrero,PRSO,0,0.0,0.0
8,Partido Regionalista de Magallanes,PRM,0,0.0,0.0
8,Candidatura Independiente,IND,0,0.0,0.0
8,Válidamente emitidos,,0,100.0,52053.0
