Distrito,Lista/Pacto,Electos,Porcentaje,Votos
Tarapacá,Frente de Acción Popular,2,37.43,17979.0
Tarapacá,Partido Democrático,0,0.15,73.0
Tarapacá,Democracia Agrario Laborista,0,0.0,0.0
Tarapacá,Partido Demócrata Cristiano,2,31.26,15013.0
Tarapacá,Partido Radical,0,15.43,7409.0
Tarapacá,Derecha Tradicional,0,14.02,6732.0
Tarapacá,Acción Nacional,0,0.0,0.0
Tarapacá,Candidatura Independiente,0,0.0,0.0
Tarapacá,Válidamente emitidos,0,98.28,47206.0
Tarapacá,Blancos/Nulos,0,1.72,824.0
Tarapacá,Total,0,100.0,48030.0
Antofagasta,Frente de Acción Popular,3,41.14,31061.0
Antofagasta,Partido Democrático,0,0.12,88.0
Antofagasta,Democracia Agrario Laborista,0,0.0,0.0
Antofagasta,Partido Demócrata Cristiano,3,33.69,25436.0
Antofagasta,Partido Radical,1,16.7,12606.0
Antofagasta,Derecha Tradicional,0,6.4,4829.0
Antofagasta,Acción Nacional,0,0.29,217.0
Antofagasta,Candidatura Independiente,0,0.0,0.0
Antofagasta,Válidamente emitidos,0,98.33,74237.0
Antofagasta,Blancos/Nulos,0,1.67,1264.0
Antofagasta,Total,0,100.0,75501.0
Atacama,Frente de Acción Popular,0,36.05,14036.0
Atacama,Partido Democrático,0,0.0,0.0
Atacama,Democracia Agrario Laborista,0,0.0,0.0
Atacama,Partido Demócrata Cristiano,1,40.14,15626.0
Atacama,Partido Radical,1,20.38,7935.0
Atacama,Derecha Tradicional,0,0.0,0.0
Atacama,Acción Nacional,0,0.0,0.0
Atacama,Candidatura Independiente,0,0.0,0.0
Atacama,Válidamente emitidos,0,96.58,37597.0
Atacama,Blancos/Nulos,0,3.42,1333.0
Atacama,Total,0,100.0,38930.0
Coquimbo,Frente de Acción Popular,2,34.83,27133.0
Coquimbo,Partido Democrático,0,0.18,139.0
Coquimbo,Democracia Agrario Laborista,0,0.3,230.0
Coquimbo,Partido Demócrata Cristiano,3,31.52,24550.0
Coquimbo,Partido Radical,1,18.57,14465.0
Coquimbo,Derecha Tradicional,1,11.68,9096.0
Coquimbo,Acción Nacional,0,0.0,0.0
Coquimbo,Candidatura Independiente,0,0.0,0.0
Coquimbo,Válidamente emitidos,0,97.08,75613.0
Coquimbo,Blancos/Nulos,0,2.92,2273.0
Coquimbo,Total,0,100.0,77886.0
Aconcagua,Frente de Acción Popular,1,26.4,11904.0
Aconcagua,Partido Democrático,0,0.0,0.0
Aconcagua,Democracia Agrario Laborista,0,0.0,0.0
Aconcagua,Partido Demócrata Cristiano,2,43.61,19664.0
Aconcagua,Partido Radical,0,9.83,4433.0
Aconcagua,Derecha Tradicional,0,18.97,8556.0
Aconcagua,Acción Nacional,0,0.0,0.0
Aconcagua,Candidatura Independiente,0,0.0,0.0
Aconcagua,Válidamente emitidos,0,98.81,44557.0
Aconcagua,Blancos/Nulos,0,1.19,537.0
Aconcagua,Total,0,100.0,45094.0
Valparaíso,Frente de Acción Popular,2,20.25,52405.0
Valparaíso,Partido Democrático,0,1.14,2941.0
Valparaíso,Democracia Agrario Laborista,0,0.29,742.0
Valparaíso,Partido Demócrata Cristiano,8,51.42,133014.0
Valparaíso,Partido Radical,1,9.44,24420.0
Valparaíso,Derecha Tradicional,1,12.969999999999999,33570.0
Valparaíso,Acción Nacional,0,0.6,1564.0
Valparaíso,Candidatura Independiente,0,0.51,1324.0
Valparaíso,Válidamente emitidos,0,96.63,249980.0
Valparaíso,Blancos/Nulos,0,3.37,8724.0
Valparaíso,Total,0,100.0,258704.0
Santiago-1,Frente de Acción Popular,4,24.65,231272.0
Santiago-1,Partido Democrático,0,1.49,14019.0
Santiago-1,Democracia Agrario Laborista,0,1.32,12345.0
Santiago-1,Partido Demócrata Cristiano,11,47.29,443556.0
Santiago-1,Partido Radical,2,9.16,85941.0
Santiago-1,Derecha Tradicional,1,10.870000000000001,101874.0
Santiago-1,Acción Nacional,0,1.41,13197.0
Santiago-1,Candidatura Independiente,0,0.0,0.0
Santiago-1,Válidamente emitidos,0,96.2,902204.0
Santiago-1,Blancos/Nulos,0,3.8,35646.0
Santiago-1,Total,0,100.0,937850.0
Santiago-2,Frente de Acción Popular,2,24.65,231272.0
Santiago-2,Partido Democrático,0,1.49,14019.0
Santiago-2,Democracia Agrario Laborista,0,1.32,12345.0
Santiago-2,Partido Demócrata Cristiano,3,47.29,443556.0
Santiago-2,Partido Radical,0,9.16,85941.0
Santiago-2,Derecha Tradicional,0,10.870000000000001,101874.0
Santiago-2,Acción Nacional,0,1.41,13197.0
Santiago-2,Candidatura Independiente,0,0.0,0.0
Santiago-2,Válidamente emitidos,0,96.2,902204.0
Santiago-2,Blancos/Nulos,0,3.8,35646.0
Santiago-2,Total,0,100.0,937850.0
Santiago-3,Frente de Acción Popular,2,24.65,231272.0
Santiago-3,Partido Democrático,0,1.49,14019.0
Santiago-3,Democracia Agrario Laborista,0,1.32,12345.0
Santiago-3,Partido Demócrata Cristiano,3,47.29,443556.0
Santiago-3,Partido Radical,0,9.16,85941.0
Santiago-3,Derecha Tradicional,0,10.870000000000001,101874.0
Santiago-3,Acción Nacional,0,1.41,13197.0
Santiago-3,Candidatura Independiente,0,0.0,0.0
