Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá y Antofagasta,Confederación de la Democracia,PDC,"('Juan', 'de Dios', 'Carmona', 'Peralta')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_de_Dios_Carmona_Peralta
Tarapacá y Antofagasta,Confederación de la Democracia,PDC,"('Osvaldo', 'Opelio', 'Olguín', 'Zapata')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Opelio_Olguín_Zapata
Tarapacá y Antofagasta,Unidad Popular,PC,"('Víctor', 'Benito', 'Contreras', 'Tapia')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Benito_Contreras_Tapia
Tarapacá y Antofagasta,Unidad Popular,PC,"('Luis', 'Valente', 'Rossi')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Valente_Rossi
Tarapacá y Antofagasta,Unión Socialista Popular,USOPO,"('Ramón', 'Augusto', 'Silva', 'Ulloa')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Augusto_Silva_Ulloa
Atacama y Coquimbo,Confederación de la Democracia,VL-CODE,(),976,0.52,,,
Atacama y Coquimbo,Confederación de la Democracia,PDC,"('Andrés', 'Zaldívar', 'Larraín')",37325,20.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
Atacama y Coquimbo,Confederación de la Democracia,DR,"('Julio', 'Mercado', 'Illanes')",22089,11.85,,,
Atacama y Coquimbo,Confederación de la Democracia,PDC,"('Alejandro', 'Noemi', 'Huerta')",22683,12.17,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Noemi_Huerta
Atacama y Coquimbo,Unidad Popular,PC,"('Julieta', 'Campusano', 'Chávez')",47002,25.23,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julieta_Campusano_Chávez
Atacama y Coquimbo,Unidad Popular,MAPU,"('Francisco', 'González', 'del Río')",3871,2.08,,,
Atacama y Coquimbo,Unidad Popular,PS,"('Luis', 'Ernesto', 'Aguilera', 'Báez')",38513,20.67,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Ernesto_Aguilera_Báez
Atacama y Coquimbo,Unidad Popular,VL-UP,(),1211,0.65,,,
Atacama y Coquimbo,Unidad Popular,PR,"('Hugo', 'Miranda', 'Ramírez')",12627,6.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Miranda_Ramírez
Atacama y Coquimbo,Válidamente emitidos,,(),186297,97.78,,,
Atacama y Coquimbo,Nulos,,(),2901,1.52,,,
Atacama y Coquimbo,Blancos,,(),1331,0.7,,,
Atacama y Coquimbo,Total,,(),190529,100.0,,,
Aconcagua y Valparaíso,Confederación de la Democracia,PDC,"('Hugo', 'Eugenio', 'Ballesteros', 'Reyes')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Eugenio_Ballesteros_Reyes
Aconcagua y Valparaíso,Confederación de la Democracia,PDC,"('Benjamín', 'Prado', 'Casas')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Benjamín_Prado_Casas
Aconcagua y Valparaíso,Confederación de la Democracia,PN,"('Pedro', 'Ibáñez', 'Ojeda')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Ibáñez_Ojeda
Aconcagua y Valparaíso,Unidad Popular,PC,"('Luis', 'Corvalán', 'Lepe')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Corvalán_Lepe
Aconcagua y Valparaíso,Unidad Popular,PR,"('Luis', 'Bossay', 'Leiva')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Bossay_Leiva
