Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
2,Confederación de la Democracia,3,83073,43.6,2
2,Unidad Popular,4,103224,54.18,3
2,Válidamente emitidos,-1,186297,97.78,0
2,Nulos,-1,2901,1.52,0
2,Blancos,-1,1331,0.7,0
2,Total,-1,190529,100.0,0
4,Confederación de la Democracia,5,826640,57.68,3
4,Unidad Popular,4,586561,40.93,2
4,Válidamente emitidos,-1,1413201,98.6,0
4,Nulos,-1,15300,1.07,0
4,Blancos,-1,4721,0.33,0
4,Total,-1,1433222,100.0,0
6,Confederación de la Democracia,5,132091,53.72,3
6,Unidad Popular,3,108185,44.0,2
6,Válidamente emitidos,-1,240276,97.72,0
6,Nulos,-1,3525,1.43,0
6,Blancos,-1,2077,0.84,0
6,Total,-1,245878,100.0,0
8,Confederación de la Democracia,5,167983,60.15,3
8,Unidad Popular,3,105066,37.62,2
8,Válidamente emitidos,-1,273049,97.77,0
8,Nulos,-1,4064,1.46,0
8,Blancos,-1,2154,0.77,0
8,Total,-1,279267,100.0,0
10,Confederación de la Democracia,4,49556,54.38,3
10,Unidad Popular,3,39476,43.32,2
10,Válidamente emitidos,-1,89032,97.71,0
10,Nulos,-1,1443,1.58,0
10,Blancos,-1,648,0.71,0
10,Total,-1,91123,100.0,0
