Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
2,Confederación de la Democracia,DR,1,22089,11.59,0
2,Confederación de la Democracia,VL-CODE,0,976,0.51,0
2,Confederación de la Democracia,PDC,2,60008,31.5,2
2,Unidad Popular,MAPU,1,3871,2.03,0
2,Unidad Popular,PR,1,12627,6.63,1
2,Unidad Popular,PS,1,38513,20.21,1
2,Unidad Popular,VL-UP,0,1211,0.64,0
2,Unidad Popular,PC,1,47002,24.67,1
2,Válidamente emitidos,,0,186297,97.78,0
2,Nulos,,0,2901,1.52,0
2,Blancos,,0,1331,0.7,0
2,Total,,0,190529,100.0,0
4,Confederación de la Democracia,PN,2,282637,19.72,1
4,Confederación de la Democracia,PIR,1,26790,1.87,0
4,Confederación de la Democracia,PDC,2,507552,35.41,2
4,Confederación de la Democracia,VL-CODE,0,9661,0.67,0
4,Unidad Popular,MAPU,1,21320,1.49,0
4,Unidad Popular,PR,1,76037,5.31,0
4,Unidad Popular,PC,1,243891,17.02,1
4,Unidad Popular,VL-UP,0,11081,0.77,0
4,Unidad Popular,PS,1,234232,16.34,1
4,Válidamente emitidos,,0,1413201,98.6,0
4,Nulos,,0,15300,1.07,0
4,Blancos,,0,4721,0.33,0
4,Total,,0,1433222,100.0,0
6,Confederación de la Democracia,VL-CODE,0,1605,0.65,0
6,Confederación de la Democracia,PN,1,59503,24.2,1
6,Confederación de la Democracia,PIR,1,7544,3.07,0
6,Confederación de la Democracia,PDC,3,63439,25.8,2
6,Unidad Popular,PS,1,53483,21.75,1
6,Unidad Popular,VL-UP,0,1991,0.81,0
6,Unidad Popular,PC,1,42770,17.39,1
6,Unidad Popular,PR,1,9941,4.04,0
6,Válidamente emitidos,,0,240276,97.72,0
6,Nulos,,0,3525,1.43,0
6,Blancos,,0,2077,0.84,0
6,Total,,0,245878,100.0,0
8,Confederación de la Democracia,PDC,2,84654,30.31,2
8,Confederación de la Democracia,PN,2,63753,22.83,1
8,Confederación de la Democracia,VL-CODE,0,1833,0.66,0
8,Confederación de la Democracia,DR,1,17743,6.35,0
8,Unidad Popular,PC,1,35801,12.82,1
8,Unidad Popular,VL-UP,0,2594,0.93,0
8,Unidad Popular,PR,1,20846,7.46,0
8,Unidad Popular,PS,1,45825,16.41,1
8,Válidamente emitidos,,0,273049,97.77,0
8,Nulos,,0,4064,1.46,0
8,Blancos,,0,2154,0.77,0
8,Total,,0,279267,100.0,0
10,Confederación de la Democracia,DR,1,8160,8.95,0
10,Confederación de la Democracia,PDC,2,29621,32.51,2
10,Confederación de la Democracia,PN,1,11418,12.53,1
10,Confederación de la Democracia,VL-CODE,0,357,0.39,0
10,Unidad Popular,PC,1,10996,12.07,1
10,Unidad Popular,VL-UP,0,554,0.61,0
10,Unidad Popular,PR,1,7510,8.24,0
10,Unidad Popular,PS,1,20416,22.4,1
10,Válidamente emitidos,,0,89032,97.71,0
10,Nulos,,0,1443,1.58,0
10,Blancos,,0,648,0.71,0
10,Total,,0,91123,100.0,0
