Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Confederación de la Democracia,PN,"('Bernardino', 'Segundo', 'Guerra', 'Cofré')",9605,12.67,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardino_Segundo_Guerra_Cofré
Tarapacá,Confederación de la Democracia,VL-CODE,(),449,0.59,,,
Tarapacá,Confederación de la Democracia,PDC,"('Samuel', 'Astorga', 'Jorquera')",6911,9.12,,,
Tarapacá,Confederación de la Democracia,PN,"('Alberto', 'Koch', 'Sologuren')",7067,9.33,,,
Tarapacá,Confederación de la Democracia,PDC,"('Humberto', 'Manuel', 'Palza', 'Corvacho')",13429,17.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Manuel_Palza_Corvacho
Tarapacá,Unidad Popular,VL-UP,(),510,0.67,,,
Tarapacá,Unidad Popular,PR,"('Tomislav', 'Giustinianovich', 'Navarrete')",2985,3.94,,,
Tarapacá,Unidad Popular,PS,"('Eduardo', 'Long', 'Alessandri')",7915,10.44,,,
Tarapacá,Unidad Popular,PC,"('Orel', 'Viciani', 'Escker')",16452,21.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Orel_Viciani_Escker
Tarapacá,Unidad Popular,PC,"('Vicente', 'Atencio', 'Cortés')",9875,13.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vicente_Atencio_Cortés
Tarapacá,Unión Socialista Popular,USOPO,"('Guillermo', 'Zagal', 'Díaz')",52,0.07,,,
Tarapacá,Unión Socialista Popular,USOPO,"('Otto', 'Koch', 'González')",334,0.44,,,
Tarapacá,Unión Socialista Popular,VL-USOPO,(),31,0.04,,,
Tarapacá,Unión Socialista Popular,USOPO,"('Modesto', 'Letelier', 'Palma')",81,0.1,,,
Tarapacá,Unión Socialista Popular,USOPO,"('Santiago', 'Salinas', 'Muñoz')",68,0.09,,,
Tarapacá,Válidamente emitidos,,(),75764,98.52,,,
Tarapacá,Nulos,,(),914,1.19,,,
Tarapacá,Blancos,,(),219,0.28,,,
Tarapacá,Total,,(),76897,100.0,,,
Antofagasta,Confederación de la Democracia,PDC,"('Juan', 'Floreal', 'Recabarren')",8927,8.17,,,
Antofagasta,Confederación de la Democracia,PDC,"('Pedro', 'Pablo', 'Araya', 'Ortiz')",9847,9.02,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Araya_Ortiz
