Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,Confederación de la Democracia,PN,"['Bernardino', 'Guerra', 'Cofré']",9605,12.67,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardino_Segundo_Guerra_Cofré
1,Confederación de la Democracia,PDC,"['Humberto', 'Palza', 'Corvacho']",13429,17.72,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Manuel_Palza_Corvacho
1,Unidad Popular,PC,"['Vicente', 'Atencio', 'Cortés']",9875,13.03,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vicente_Atencio_Cortés
1,Unidad Popular,PC,"['Orel', 'Viciani', 'Escker']",16452,21.71,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Orel_Viciani_Escker
2,Confederación de la Democracia,PDC,"['Pedro', 'Araya', 'Ortiz']",9847,9.02,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Araya_Ortiz
2,Confederación de la Democracia,PN,"['Arturo', 'Alessandri', 'Besa']",14671,13.43,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Alessandri_Besa
2,Confederación de la Democracia,PDC,"['Cesáreo', 'Castillo', 'Michea']",11742,10.75,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cesáreo_Juvenal_Castillo_Michea
2,Unidad Popular,PC,"['Vilma', 'Rojas', 'Alfaro']",11636,10.66,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vilma_Eliana_Rojas_Alfaro
2,Unidad Popular,PR,"['Rubén', 'Soto', 'Gutiérrez']",8186,7.5,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rubén_Soto_Gutiérrez
2,Unidad Popular,PS,"['Domingo', 'Claps', 'Gallo']",13691,12.54,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Domingo_Claps_Gallo
2,Unidad Popular,PC,"['Hugo', 'Robles', 'Robles']",12060,11.04,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Orlando_Robles_Robles
3,Confederación de la Democracia,PDC,"['Raúl', 'Barrionuevo', 'Barrionuevo']",19424,32.92,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Armando_Barrionuevo_Barrionuevo
3,Unidad Popular,PS,"['Leonardo', 'Hagel', 'Arredondo']",26515,44.93,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leonardo_Hagel_Arredondo
4,Confederación de la Democracia,PDC,"['Marino', 'Penna', 'Miranda']",10843,8.54,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marino_Penna_Miranda
