Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
1,Confederación de la Democracia,4,37461,48.72,2
1,Unidad Popular,4,37737,49.07,2
1,Unión Socialista Popular,4,566,0.74,0
1,Válidamente emitidos,0,75764,98.53,0
1,Nulos,0,914,1.19,0
1,Blancos,0,219,0.28,0
1,Total,0,76897,100.0,0
2,Confederación de la Democracia,7,52880,47.79,3
2,Unidad Popular,7,54966,49.68,4
2,Unión Socialista Popular,5,1334,1.21,0
2,Válidamente emitidos,0,109180,98.68,0
2,Nulos,0,1144,1.03,0
2,Blancos,0,320,0.29,0
2,Total,0,110644,100.0,0
3,Confederación de la Democracia,2,26686,44.18,1
3,Unidad Popular,2,32321,53.51,1
3,Válidamente emitidos,0,59007,97.7,0
3,Nulos,0,921,1.52,0
3,Blancos,0,470,0.78,0
3,Total,0,60398,100.0,0
4,Confederación de la Democracia,7,58043,44.63,3
4,Unidad Popular,7,68941,53.01,4
4,Válidamente emitidos,0,126984,97.63,0
4,Nulos,0,1917,1.47,0
4,Blancos,0,1164,0.89,0
4,Total,0,130065,100.0,0
5,Confederación de la Democracia,3,38859,53.54,2
5,Unidad Popular,3,31667,43.63,1
5,Unión Socialista Popular,2,936,1.29,0
5,Válidamente emitidos,0,71462,98.45,0
5,Nulos,0,873,1.2,0
5,Blancos,0,250,0.34,0
5,Total,0,72585,100.0,0
6,Confederación de la Democracia,12,207208,58.03,7
6,Unidad Popular,12,145729,40.81,5
6,Válidamente emitidos,0,352937,98.85,0
6,Nulos,0,3132,0.88,0
6,Blancos,0,990,0.28,0
6,Total,0,357059,100.0,0
8,Confederación de la Democracia,5,79935,56.09,3
8,Unidad Popular,5,59902,42.03,2
8,Válidamente emitidos,0,139837,98.12,0
8,Nulos,0,1667,1.17,0
8,Blancos,0,1010,0.71,0
8,Total,0,142514,100.0,0
9,Confederación de la Democracia,6,64669,50.91,3
9,Unidad Popular,5,60265,47.44,3
9,Válidamente emitidos,0,124934,98.35,0
9,Nulos,0,1624,1.28,0
9,Blancos,0,477,0.38,0
9,Total,0,127035,100.0,0
10,Confederación de la Democracia,4,35921,56.15,2
10,Unidad Popular,4,27118,42.39,2
10,Unión Socialista Popular,0,201,0.31,0
10,Válidamente emitidos,0,63240,98.86,0
10,Nulos,0,534,0.83,0
10,Blancos,0,196,0.31,0
10,Total,0,63970,100.0,0
11,Confederación de la Democracia,3,24330,51.38,2
11,Unidad Popular,3,21399,45.19,1
11,Unión Socialista Popular,2,495,1.05,0
11,Válidamente emitidos,0,46224,97.62,0
11,Nulos,0,737,1.56,0
11,Blancos,0,392,0.83,0
11,Total,0,47353,100.0,0
12,Confederación de la Democracia,5,43103,49.57,3
12,Unidad Popular,5,42013,48.32,2
12,Válidamente emitidos,0,85116,97.9,0
12,Nulos,0,1148,1.32,0
12,Blancos,0,682,0.78,0
12,Total,0,86946,100.0,0
13,Confederación de la Democracia,3,21283,57.93,2
13,Unidad Popular,3,14275,38.85,1
13,Unión Socialista Popular,0,169,0.46,0
13,Válidamente emitidos,0,35727,97.24,0
13,Nulos,0,602,1.64,0
13,Blancos,0,413,1.12,0
13,Total,0,36742,100.0,0
14,Confederación de la Democracia,4,42798,57.57,2
14,Unidad Popular,4,29559,39.76,2
14,Unión Socialista Popular,0,252,0.34,0
14,Válidamente emitidos,0,72609,97.67,0
14,Nulos,0,1111,1.49,0
14,Blancos,0,620,0.83,0
14,Total,0,74340,100.0,0
15,Confederación de la Democracia,3,24194,66.45,2
15,Unidad Popular,3,11797,32.4,1
15,Válidamente emitidos,0,35991,98.85,0
15,Nulos,0,287,0.79,0
15,Blancos,0,131,0.36,0
15,Total,0,36409,100.0,0
16,Confederación de la Democracia,5,48102,57.32,3
16,Unidad Popular,5,34917,41.61,2
16,Válidamente emitidos,0,83019,98.93,0
16,Nulos,0,658,0.78,0
16,Blancos,0,244,0.29,0
16,Total,0,83921,100.0,0
17,Confederación de la Democracia,8,114757,43.99,4
17,Unidad Popular,9,142164,54.5,5
17,Unión Socialista Popular,5,1224,0.47,0
17,Válidamente emitidos,0,258145,98.95,0
17,Nulos,0,1993,0.76,0
17,Blancos,0,736,0.28,0
17,Total,0,260874,100.0,0
18,Confederación de la Democracia,2,12638,33.66,1
18,Unidad Popular,2,24056,64.07,1
18,Unión Socialista Popular,0,158,0.42,0
18,Válidamente emitidos,0,36852,98.15,0
18,Nulos,0,513,1.37,0
18,Blancos,0,182,0.48,0
18,Total,0,37547,100.0,0
19,Confederación de la Democracia,4,39034,54.12,2
19,Unidad Popular,4,31023,43.01,2
19,Válidamente emitidos,0,70057,97.12,0
19,Nulos,0,1483,2.06,0
19,Blancos,0,591,0.82,0
19,Total,0,72131,100.0,0
20,Confederación de la Democracia,6,38080,56.87,4
20,Unidad Popular,6,27113,40.49,2
20,Unión Socialista Popular,0,143,0.21,0
20,Válidamente emitidos,0,65336,97.58,0
20,Nulos,0,938,1.4,0
20,Blancos,0,683,1.02,0
20,Total,0,66957,100.0,0
21,Confederación de la Democracia,10,89034,63.6,7
21,Unidad Popular,10,47490,33.93,3
21,Unión Socialista Popular,3,822,0.59,0
21,Válidamente emitidos,0,137346,98.12,0
21,Nulos,0,1398,1.0,0
21,Blancos,0,1236,0.88,0
21,Total,0,139980,100.0,0
22,Confederación de la Democracia,5,51719,51.36,3
22,Unidad Popular,5,47755,47.42,2
22,Válidamente emitidos,0,99474,98.78,0
22,Nulos,0,949,0.94,0
22,Blancos,0,280,0.28,0
22,Total,0,100703,100.0,0
23,Confederación de la Democracia,3,32982,56.65,2
23,Unidad Popular,3,24391,41.9,1
23,Unión Socialista Popular,0,234,0.4,0
23,Válidamente emitidos,0,57607,98.95,0
23,Nulos,0,469,0.81,0
23,Blancos,0,140,0.24,0
23,Total,0,58216,100.0,0
24,Confederación de la Democracia,3,35993,61.67,2
24,Unidad Popular,3,21629,37.06,1
24,Unión Socialista Popular,0,104,0.18,0
24,Válidamente emitidos,0,57726,98.91,0
24,Nulos,0,437,0.75,0
24,Blancos,0,199,0.34,0
24,Total,0,58362,100.0,0
25,Confederación de la Democracia,3,18880,56.57,2
25,Unidad Popular,3,13620,40.81,1
25,Válidamente emitidos,0,32500,97.39,0
25,Nulos,0,448,1.34,0
25,Blancos,0,424,1.27,0
25,Total,0,33372,100.0,0
26,Confederación de la Democracia,2,10479,57.92,1
26,Unidad Popular,2,6908,38.18,1
26,Unión Socialista Popular,0,386,2.13,0
26,Válidamente emitidos,0,17773,98.24,0
26,Nulos,0,197,1.09,0
26,Blancos,0,121,0.67,0
26,Total,0,18091,100.0,0
27,Confederación de la Democracia,2,19450,48.99,1
27,Unidad Popular,2,16594,41.8,1
27,Unión Socialista Popular,2,2724,6.86,0
27,Válidamente emitidos,0,38768,97.65,0
27,Nulos,0,567,1.43,0
27,Blancos,0,364,0.92,0
27,Total,0,39699,100.0,0
71,Confederación de la Democracia,18,247505,63.13,12
71,Unidad Popular,10,139126,35.49,6
71,Unión Socialista Popular,0,539,0.14,0
71,Válidamente emitidos,0,387170,98.76,0
71,Nulos,0,2453,0.63,0
71,Blancos,0,2410,0.61,0
71,Total,0,392033,100.0,0
72,Confederación de la Democracia,5,160345,49.47,3
72,Unidad Popular,5,157857,48.7,2
72,Válidamente emitidos,0,318202,98.18,0
72,Nulos,0,3564,1.1,0
72,Blancos,0,2349,0.72,0
72,Total,0,324115,100.0,0
73,Confederación de la Democracia,5,332252,57.97,3
73,Unidad Popular,5,232833,40.62,2
73,Válidamente emitidos,0,565085,98.59,0
73,Nulos,0,4961,0.87,0
73,Blancos,0,3124,0.55,0
73,Total,0,573170,100.0,0
