Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Tarapacá,Confederación de la Democracia,PDC,2,20340,26.45,1
Tarapacá,Confederación de la Democracia,PADENA,0,0,0.0,0
Tarapacá,Confederación de la Democracia,PIR,0,0,0.0,0
Tarapacá,Confederación de la Democracia,PN,2,16672,21.68,1
Tarapacá,Confederación de la Democracia,VL-CODE,0,449,0.58,0
Tarapacá,Confederación de la Democracia,DR,0,0,0.0,0
Tarapacá,Unidad Popular,API,0,0,0.0,0
Tarapacá,Unidad Popular,VL-UP,0,510,0.66,0
Tarapacá,Unidad Popular,PS,1,7915,10.29,0
Tarapacá,Unidad Popular,PR,1,2985,3.88,0
Tarapacá,Unidad Popular,PC,2,26327,34.24,2
Tarapacá,Unidad Popular,MAPU,0,0,0.0,0
Tarapacá,Unidad Popular,IC,0,0,0.0,0
Tarapacá,Unión Socialista Popular,VL-USOPO,0,31,0.04,0
Tarapacá,Unión Socialista Popular,USOPO,4,535,0.7,0
Tarapacá,Válidamente emitidos,,0,75764,98.53,0
Tarapacá,Nulos,,0,914,1.19,0
Tarapacá,Blancos,,0,219,0.28,0
Tarapacá,Total,,0,76897,100.0,0
Antofagasta,Confederación de la Democracia,PADENA,1,122,0.11,0
Antofagasta,Confederación de la Democracia,PN,2,19178,17.33,1
Antofagasta,Confederación de la Democracia,PIR,1,2540,2.3,0
Antofagasta,Confederación de la Democracia,PDC,3,30516,27.58,2
Antofagasta,Confederación de la Democracia,DR,0,0,0.0,0
Antofagasta,Confederación de la Democracia,VL-CODE,0,524,0.47,0
Antofagasta,Unidad Popular,API,0,0,0.0,0
Antofagasta,Unidad Popular,IC,1,212,0.19,0
Antofagasta,Unidad Popular,VL-UP,0,543,0.49,0
Antofagasta,Unidad Popular,PS,2,20980,18.96,1
Antofagasta,Unidad Popular,PR,1,8186,7.4,1
Antofagasta,Unidad Popular,MAPU,1,1349,1.22,0
Antofagasta,Unidad Popular,PC,2,23696,21.42,2
Antofagasta,Unión Socialista Popular,VL-USOPO,0,52,0.05,0
Antofagasta,Unión Socialista Popular,USOPO,5,1282,1.16,0
Antofagasta,Válidamente emitidos,,0,109180,98.68,0
Antofagasta,Nulos,,0,1144,1.03,0
Antofagasta,Blancos,,0,320,0.29,0
Antofagasta,Total,,0,110644,100.0,0
Atacama,Confederación de la Democracia,PIR,1,6883,11.4,0
Atacama,Confederación de la Democracia,PDC,1,19424,32.16,1
Atacama,Confederación de la Democracia,PADENA,0,0,0.0,0
Atacama,Confederación de la Democracia,VL-CODE,0,379,0.63,0
