Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Concertación de Partidos por la Democracia,PDC,"('Humberto', 'Manuel', 'Palza', 'Corvacho')",45258,27.99,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Humberto_Manuel_Palza_Corvacho
Tarapacá,Concertación de Partidos por la Democracia,IND,"('Aníbal', 'Palma')",30965,19.15,,,
Tarapacá,Democracia y Progreso,RN,"('Gabriel', 'Abusleme', 'Alfaro')",7471,4.62,,,
Tarapacá,Democracia y Progreso,IND,"('Julio', 'Lagos', 'Cosgrove')",42079,26.02,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
Tarapacá,Liberal-Socialista Chileno,IND,"('Raquel', 'Pino', 'Parraguez')",4089,2.53,,,
Tarapacá,Liberal-Socialista Chileno,IND,"('Yulia', 'Barraquett')",2143,1.33,,,
Tarapacá,Candidatura Independiente,IND,"('Jorge', 'Soria', 'Quiroga')",27064,16.74,,,
Tarapacá,Candidatura Independiente,IND,"('Fernando', 'Dougnac', 'Rodríguez')",2644,1.63,,,
Tarapacá,Válidamente emitidos,,(),161713,100.0,,,
Antofagasta,Concertación de Partidos por la Democracia,PR,"('Bernardo', 'Julio', 'Contreras')",25608,12.55,,,
Antofagasta,Concertación de Partidos por la Democracia,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",58852,28.84,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Antofagasta,Democracia y Progreso,RN,"('Radoslav', 'Razmilic', 'Vlahovic')",29367,14.39,,,
Antofagasta,Democracia y Progreso,IND,"('Arturo', 'Alessandri', 'Besa')",41672,20.42,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Alessandri_Besa
Antofagasta,Unidad para la Democracia,PAIS,"('Fanny', 'Pollarolo', 'Villa')",46599,22.83,,,
Antofagasta,Unidad para la Democracia,PAIS,"('Gustavo', 'Araya', 'Alfaro')",1992,0.98,,,
Antofagasta,Válidamente emitidos,,(),204090,100.0,,,
Atacama,Concertación de Partidos por la Democracia,PDC,"('Adolfo', 'Zaldívar', 'Larraín')",30933,28.44,,,
Atacama,Concertación de Partidos por la Democracia,PPD,"('Ricardo', 'Núñez', 'Muñoz')",36295,33.38,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
