Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,Alternativa Democrática de Izquierda,PC,"['Jaime', 'Barros', 'Pérez-Cotapos']",6567,4.06,,
1,Unión por el Progreso de Chile,UDI,"['Julio', 'Dittborn', 'Cordua']",17005,10.51,,
1,Unión por el Progreso de Chile,RN,"['Julio', 'Lagos', 'Cosgrove']",41328,25.54,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Lagos_Cosgrove
1,La Nueva Izquierda,AHV,"['Myrna', 'Miranda', 'Vivaceta']",2220,1.37,,
1,Concertación de Partidos por la Democracia,PPD,"['Sergio', 'Bitar', 'Chacra']",63810,39.44,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Bitar_Chacra
1,Concertación de Partidos por la Democracia,PDC,"['Humberto', 'Palza', 'Corvacho']",29426,18.19,,
1,Candidatura Independiente,IND,"['Víctor', 'H.', 'Muñoz', 'Leigton']",1435,0.89,,
1,Válidamente emitidos,,[],161791,100,,
3,Alternativa Democrática de Izquierda,IND,"['Juan', 'Carlos', 'Barraza', 'Guy']",4339,3.96,,
3,Alternativa Democrática de Izquierda,PC,"['Marcelino', 'Figueroa', 'Tabilo']",5390,4.92,,
3,Unión por el Progreso de Chile,UDI,"['Alejandro', 'González', 'Samohod']",14686,13.4,,
3,Unión por el Progreso de Chile,RN,"['Ignacio', 'Pérez', 'Walker']",23737,21.65,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Pérez_Walker
3,Concertación de Partidos por la Democracia,PR,"['Sergio', 'Carrasco', 'Gouet']",29023,26.48,,
3,Concertación de Partidos por la Democracia,PS,"['Ricardo', 'Núñez', 'Muñoz']",32442,29.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
3,Válidamente emitidos,,[],109617,100,,
5,Alternativa Democrática de Izquierda,IND,"['Eduardo', 'Gutiérrez', 'González']",8939,2.53,,
5,Alternativa Democrática de Izquierda,PC,"['Manuel', 'Cantero', 'Prado']",12101,3.42,,
5,Unión por el Progreso de Chile,RN,"['Sergio', 'Romero', 'Pizarro']",109538,30.96,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
5,Unión por el Progreso de Chile,IND,"['Hugo', 'Estívales', 'Sánchez']",8463,2.39,,
5,Concertación de Partidos por la Democracia,PR,"['Carlos', 'González', 'Márquez']",57253,16.18,,
5,Concertación de Partidos por la Democracia,PS,"['Carlos', 'Ominami', 'Pascual']",117699,33.27,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
5,Candidatura Independiente,IND,"['Eduardo', 'Cerda', 'García']",39798,11.25,,
5,Válidamente emitidos,,[],353791,100,,
6,Alternativa Democrática de Izquierda,PC,"['Luis', 'Corvalán', 'Lépez']",18220,4.67,,
6,Unión por el Progreso de Chile,UCC,"['Eduardo', 'Parra', 'Bartet']",18038,4.63,,
6,Unión por el Progreso de Chile,UDI,"['Beltrán', 'Urenda', 'Zegers']",117205,30.06,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Beltrán_Urenda_Zegers
6,La Nueva Izquierda,AHV,"['Bessi', 'Arriola', 'Contreras']",2683,0.69,,
6,La Nueva Izquierda,AHV,"['Wilfredo', 'Alfsen', 'Ovando']",3625,0.93,,
6,Concertación de Partidos por la Democracia,PDC,"['Juan', 'Hamilton', 'Depassier']",116515,29.89,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Patricio_José_Hamilton_Depassier
6,Concertación de Partidos por la Democracia,PPD,"['Laura', 'Soto', 'González']",113568,29.13,,
6,Válidamente emitidos,,[],389854,100,,
10,Alternativa Democrática de Izquierda,PC,"['Oscar', 'Moya', 'Muñoz']",8326,3.04,,
10,Unión por el Progreso de Chile,UCC,"['Jorge', 'Concha', 'Goycoolea']",8154,2.98,,
10,Unión por el Progreso de Chile,IND,"['Francisco', 'Javier', 'Errázuriz', 'Talavera']",103567,37.85,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Javier_Errázuriz_Talavera
10,Concertación de Partidos por la Democracia,PDC,"['Eugenio', 'Ortega', 'Riquelme']",71353,26.07,,
