Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
2,Unión por Chile,UDI,1,14818,8.88,0
2,Unión por Chile,RN,1,40007,23.97,1
2,Concertación de Partidos por la Democracia,PPD,1,43482,26.06,0
2,Concertación de Partidos por la Democracia,PDC,1,58492,35.05,1
2,La Izquierda,PC,1,10079,6.04,0
2,Válidamente emitidos,,0,166878,100.0,0
4,Partido Humanista,PH,1,8439,3.91,0
4,Unión por Chile,RN,1,33612,15.59,0
4,Concertación de Partidos por la Democracia,PPD,1,40728,18.89,0
4,Concertación de Partidos por la Democracia,PDC,1,82598,38.3,1
4,Válidamente emitidos,,0,215658,100.0,0
7,Partido Humanista,PH,2,26794,2.41,0
7,Unión por Chile,UDI,1,229008,20.56,1
7,Unión por Chile,RN,1,153278,13.76,0
7,Concertación de Partidos por la Democracia,PS,1,177965,15.98,0
7,Concertación de Partidos por la Democracia,PDC,1,309370,27.77,1
7,La Izquierda,PC,1,174780,15.69,0
7,Chile 2000,UCCP,1,4733,0.42,0
7,Válidamente emitidos,,0,1113966,100.0,0
8,Partido Humanista,PH,2,34048,2.82,0
8,Unión por Chile,UDI,1,318703,26.43,1
8,Unión por Chile,RN,1,207960,17.25,0
8,Concertación de Partidos por la Democracia,PS,1,254577,21.11,0
8,Concertación de Partidos por la Democracia,PDC,1,294595,24.43,1
8,La Izquierda,PC,1,87568,7.26,0
8,Válidamente emitidos,,0,1205857,100.0,0
9,Partido Humanista,PH,2,8685,2.62,0
9,Unión por Chile,UDI,1,68167,20.59,1
9,Concertación de Partidos por la Democracia,PDC,1,82789,25.01,1
9,Concertación de Partidos por la Democracia,PRSD,1,76091,22.99,0
9,La Izquierda,PC,1,20390,6.16,0
9,Chile 2000,UCCP,1,2072,0.63,0
9,Válidamente emitidos,,0,330993,100.0,0
12,Partido Humanista,PH,1,7288,1.7,0
12,Unión por Chile,RN,1,20828,4.87,0
12,Unión por Chile,UDI,1,97984,22.91,0
12,Concertación de Partidos por la Democracia,PDC,1,133761,31.27,1
12,Concertación de Partidos por la Democracia,PS,1,129278,30.22,1
12,La Izquierda,PC,1,27386,6.4,0
12,Chile 2000,UCCP,2,11218,2.62,0
12,Válidamente emitidos,,0,427743,100.0,0
13,Unión por Chile,RN,1,96935,31.71,1
13,Concertación de Partidos por la Democracia,PDC,1,109368,35.78,1
13,Concertación de Partidos por la Democracia,PPD,1,79240,25.92,0
13,La Izquierda,PC,1,20158,6.59,0
13,Válidamente emitidos,,0,305701,100.0,0
16,Partido Humanista,PH,1,4240,1.96,0
16,Unión por Chile,RN,1,38789,17.94,0
16,Concertación de Partidos por la Democracia,PDC,1,93375,43.18,1
16,Concertación de Partidos por la Democracia,PPD,1,18626,8.61,0
16,La Izquierda,PC,1,8949,4.14,0
16,Válidamente emitidos,,0,216226,100.0,0
17,Partido Humanista,PH,1,3424,1.73,0
17,Unión por Chile,RN,1,37985,19.22,0
17,Concertación de Partidos por la Democracia,PS,1,39962,20.22,0
17,Concertación de Partidos por la Democracia,PDC,1,56189,28.43,1
17,La Izquierda,PC,1,6508,3.29,0
17,Válidamente emitidos,,0,197652,100.0,0
19,Partido Humanista,PH,1,1198,2.04,0
19,Concertación de Partidos por la Democracia,PDC,1,18003,30.67,1
19,Concertación de Partidos por la Democracia,PS,1,16165,27.54,0
19,La Izquierda,PC,1,2007,3.42,0
19,Válidamente emitidos,,0,58692,100.0,0
