Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Alianza por Chile,UDI,"('Jaime', 'Orpis', 'Bouchon')",38093,24.65,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Tarapacá,Concertación,PPD,"('Fernando', 'Flores', 'Labra')",47159,30.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Fernando_Flores_Labra
Antofagasta,Alianza por Chile,RN,"('Carlos', 'Cantero', 'Ojeda')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Antofagasta,Concertación,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Atacama,Alianza por Chile,RN,"('Baldo', 'Prokurica', 'Prokurica')",38212,38.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Atacama,Concertación,PS,"('Ricardo', 'Núñez', 'Muñoz')",42263,43.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Coquimbo,Alianza por Chile,UDI,"('Evelyn', 'Matthei', 'Fornet')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Coquimbo,Concertación,PDC,"('Jorge', 'Pizarro', 'Soto')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Valparaíso Cordillera,Alianza por Chile,RN,"('Sergio', 'Romero', 'Pizarro')",127706,39.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Cordillera,Concertación,PS,"('Carlos', 'Ominami', 'Pascual')",92419,28.74,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ominami_Pascual
Valparaíso Costa,Alianza por Chile,IND,"('Jorge', 'Arancibia', 'Reyes')",136464,38.35,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Patricio_Arancibia_Reyes
Valparaíso Costa,Concertación,PPD,"('Nelson', 'Ávila', 'Contreras')",137125,38.53,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nelson_Jaime_Ávila_Contreras
Santiago Poniente,Alianza por Chile,UDI,"('Jovino', 'Novoa', 'Vásquez')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jovino_Novoa_Vásquez
Santiago Poniente,Concertación,PDC,"('Andrés', 'Zaldívar', 'Larraín')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
Santiago Oriente,Alianza por Chile,UDI,"('Carlos', 'Bombal', 'Otaegui')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Bombal_Otaegui
Santiago Oriente,Concertación,PDC,"('Alejandro', 'Foxley', 'Ríoseco')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Tomás_Foxley_Rioseco
O'Higgins,Alianza por Chile,UDI,"('Andrés', 'Chadwick', 'Piñera')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera
O'Higgins,Concertación,PDC,"('Rafael', 'Adolfo', 'Moreno', 'Rojas')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Adolfo_Moreno_Rojas
Maule Norte,Alianza por Chile,UDI,"('Juan', 'Antonio', 'Coloma', 'Correa')",104179,40.84,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa
