Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
D1,Fuerza Regional Independiente,PAR,"('Bernardo', 'Olivos', 'Azúa')",1248,1.68,,,
D1,Fuerza Regional Independiente,IND,"('Wanda', 'Clemente', 'Garate')",5868,7.9,,,
D1,Concertación Democrática,PS,"('Iván', 'Paredes', 'Fierro')",18958,25.52,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Paredes_Fierro
D1,Concertación Democrática,PDC,"('Rolando', 'Caviedes', 'Encina')",8925,12.02,,,
D1,Juntos Podemos Más,PH,"('Ricardo', 'Pacheco', 'Contreras')",1108,1.49,,,
D1,Juntos Podemos Más,PC,"('Juan', 'Riveros', 'Díaz')",1733,2.33,,,
D1,Alianza,RN,"('Ximena', 'Valcarce', 'Becerra')",16692,22.47,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Valcarce_Becerra
D1,Alianza,UDI,"('Rosa', 'Orfilia', 'González', 'Román')",5895,7.94,,,
D1,Candidatura Independiente,IND,"('Nino', 'Baltolu', 'Rasera')",13847,18.64,,,
D1,Válidamente emitidos,,(),74274,100.0,,,
D2,Fuerza Regional Independiente,PAR,"('Marta', 'Eliana', 'Isasi', 'Barbieri')",24350,26.66,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marta_Eliana_Isasi_Barbieri
D2,Concertación Democrática,PDC,"('Raúl', 'Bagioli', 'Garrido')",3208,3.51,,,
D2,Concertación Democrática,PS,"('Fulvio', 'Rossi', 'Ciocca')",36823,40.32,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca
D2,Juntos Podemos Más,PC,"('Pedro', 'Cisternas', 'Flores')",2901,3.18,,,
D2,Juntos Podemos Más,IND,"('Sara', 'Chávez', 'Olmedo')",1088,1.19,,,
D2,Alianza,UDI,"('Julio', 'Lagos', 'Cosgrove')",16493,18.06,,,
D2,Alianza,RN,"('Espartago', 'Ferrari', 'Pavez')",6456,7.07,,,
D2,Válidamente emitidos,,(),91319,100.0,,,
D3,Fuerza Regional Independiente,IND,"('Miguel', 'Urrelo', 'Valdivia')",1616,2.35,,,
D3,Fuerza Regional Independiente,IND,"('Jorge', 'Godoy', 'Reyes')",1952,2.84,,,
D3,Concertación Democrática,PDC,"('Waldo', 'Mora', 'Longa')",15807,22.97,,,
D3,Concertación Democrática,PRSD,"('Marcos', 'Andrés', 'Espinosa', 'Monardes')",21629,31.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Espinosa_Monardes
D3,Juntos Podemos Más,PC,"('Daniel', 'Ramírez', 'Arqueros')",4753,6.91,,,
D3,Juntos Podemos Más,PH,"('Francisco', 'Avendaño', 'Vásquez')",1774,2.58,,,
D3,Alianza,UDI,"('Felipe', 'Ward', 'Edwards')",14469,21.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Ward_Edwards
D3,Alianza,RN,"('Raúl', 'Salinas', 'Pizarro')",6805,9.89,,,
D3,Válidamente emitidos,,(),68805,100.0,,,
D4,Fuerza Regional Independiente,IND,"('Rosa', 'Pérez', 'Zambra')",1420,1.22,,,
D4,Fuerza Regional Independiente,IND,"('Raúl', 'Zepeda', 'Feliu')",1020,0.88,,,
D4,Concertación Democrática,PDC,"('Pedro', 'Araya', 'Guerrero')",40131,34.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero
D4,Concertación Democrática,IND,"('Hernán', 'Rivera', 'Letelier')",21876,18.81,,,
D4,Juntos Podemos Más,PC,"('Luis', 'Sagredo', 'Torres')",2972,2.56,,,
D4,Juntos Podemos Más,PH,"('Pedro', 'Luque', 'Arancibia')",1456,1.25,,,
D4,Alianza,UDI,"('Manuel', 'Rojas', 'Molina')",38254,32.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Rojas_Molina
D4,Alianza,IND,"('Daniel', 'Guevara', 'Cortes')",9151,7.87,,,
D4,Válidamente emitidos,,(),116280,100.0,,,
D5,Fuerza Regional Independiente,PAR,"('Jorge', 'Alfredo', 'Cuello', 'Castro')",1100,1.8,,,
D5,Concertación Democrática,PPD,"('Antonio', 'Leal', 'Labrín')",30032,49.25,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Leal_Labrín
D5,Concertación Democrática,PDC,"('Erick', 'Villegas', 'González')",6241,10.23,,,
D5,Juntos Podemos Más,PH,"('Carlos', 'Toro', 'Valladares')",1086,1.78,,,
D5,Juntos Podemos Más,PC,"('Gastón', 'Quezada', 'Fernández')",3224,5.29,,,
D5,Alianza,RN,"('René', 'Aedo', 'Ormeño')",12432,20.39,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Aedo_Ormeño
D5,Alianza,UDI,"('Alberto', 'Calvo', 'Montes')",6864,11.26,,,
D5,Válidamente emitidos,,(),60979,100.0,,,
D6,Fuerza Regional Independiente,IND,"('Cristián', 'Hernándo', 'Tapia', 'Ramos')",4752,10.85,,,
D6,Concertación Democrática,PRSD,"('Alberto', 'Robles', 'Pantoja')",9199,21.01,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Robles_Pantoja
D6,Concertación Democrática,PDC,"('Jaime', 'Mulet', 'Martínez')",16124,36.82,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Mulet_Martínez
D6,Juntos Podemos Más,PH,"('Lorena', 'Ortega', 'Wanders')",316,0.72,,,
D6,Juntos Podemos Más,PC,"('Isabel', 'Iribarren', 'Cárdenas')",1525,3.48,,,
D6,Alianza,UDI,"('José', 'Luis', 'Uriarte', 'Campos')",6664,15.22,,,
D6,Alianza,RN,"('Berta', 'Torres', 'Licuime')",5206,11.89,,,
D6,Válidamente emitidos,,(),43786,100.0,,,
D7,Concertación Democrática,PS,"('Marcelo', 'Díaz', 'Díaz')",22861,26.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Eduardo_Díaz_Díaz
D7,Concertación Democrática,PDC,"('Ricardo', 'Cifuentes', 'Lillo')",21748,24.76,,,
D7,Juntos Podemos Más,PC,"('Eric', 'Campos', 'Bonta')",2571,2.93,,,
D7,Juntos Podemos Más,PC,"('Luis', 'Vega', 'González')",2606,2.97,,,
D7,Alianza,RN,"('Mario', 'Bertolino', 'Rendic')",21636,24.64,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Bertolino_Rendic
D7,Alianza,UDI,"('Francisco', 'Eguiguren', 'Correa')",16401,18.68,,,
D7,Válidamente emitidos,,(),87823,100.0,,,
D8,Concertación Democrática,PDC,"('Patricio', 'Walker', 'Prieto')",56208,54.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Walker_Prieto
D8,Concertación Democrática,PS,"('Francisco', 'Encina', 'Moriamez')",15511,14.99,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_Encina_Moriamez
D8,Juntos Podemos Más,PC,"('Miguel', 'Solís', 'Viera')",2875,2.78,,,
D8,Juntos Podemos Más,PH,"('Mario', 'González', 'Vega')",1878,1.81,,,
D8,Alianza,RN,"('Alberto', 'Gallardo', 'Flores')",8387,8.1,,,
D8,Alianza,UDI,"('Fernando', 'Cordero', 'Rusque')",18648,18.02,,,
D8,Válidamente emitidos,,(),103507,100.0,,,
D9,Concertación Democrática,PPD,"('Adriana', 'Muñoz', ""D'Albora"")",27269,44.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora
D9,Concertación Democrática,PDC,"('Renán', 'Fuentealba', 'Vildósola')",10727,17.46,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Renán_Fuentealba_Vildósola
D9,Juntos Podemos Más,PC,"('Rubén', 'Ruiz', 'Rojas')",3831,6.23,,,
D9,Juntos Podemos Más,PC,"('Julio', 'Ugas', 'Pulgar')",3533,5.75,,,
D9,Alianza,UDI,"('Darío', 'Molina', 'Sanhueza')",13253,21.57,,,
D9,Alianza,RN,"('Fernando', 'Goncalves', 'Bustamante')",2842,4.62,,,
D9,Válidamente emitidos,,(),61455,100.0,,,
D10,Concertación Democrática,PS,"('Marco', 'Enríquez-Ominami', 'Gumucio')",46590,34.34,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Enríquez-Ominami_Gumucio
D10,Concertación Democrática,PDC,"('María', 'Eugenia', 'Mella', 'Gajardo')",28949,21.34,,,
D10,Juntos Podemos Más,PH,"('Jaime', 'Romero', 'Pérez')",2447,1.8,,,
D10,Juntos Podemos Más,PC,"('Daniel', 'Jadue', 'Jadue')",8316,6.13,,,
D10,Alianza,RN,"('Alfonso', 'Vargas', 'Lyng')",34209,25.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Vargas_Lyng
D10,Alianza,UDI,"('Alfonso', 'Ríos', 'Larraín')",15157,11.17,,,
D10,Válidamente emitidos,,(),135668,100.0,,,
D11,Concertación Democrática,PPD,"('Marco', 'Antonio', 'Núñez', 'Lozano')",37662,35.86,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano
D11,Concertación Democrática,PDC,"('Patricio', 'Cornejo', 'Vidaurrázaga')",19015,18.1,,,
