Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,Concertación y Juntos Podemos por más Democracia,PS,"['Fulvio', 'Rossi', 'Ciocca']",45639,27.1,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca
1,Coalición por el Cambio,UDI,"['Jaime', 'Orpis', 'Bouchon']",56390,33.49,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
3,Concertación y Juntos Podemos por más Democracia,PS,"['Isabel', 'Allende', 'Bussi']",28240,26.81,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi
3,Coalición por el Cambio,RN,"['Baldo', 'Prokurica', 'Prokurica']",34793,33.03,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
5,Concertación y Juntos Podemos por más Democracia,PDC,"['Ignacio', 'Walker', 'Prieto']",77432,21.09,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ignacio_Walker_Prieto
5,Coalición por el Cambio,RN,"['Lily', 'Pérez', 'San Martín']",84556,23.03,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lily_Jovanka_Pérez_San_Martín
6,Concertación y Juntos Podemos por más Democracia,PPD,"['Ricardo', 'Lagos', 'Weber']",128287,33.19,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Lagos_Weber
6,Coalición por el Cambio,RN,"['Francisco', 'Chahuán', 'Chahuán']",109603,28.35,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Chahuán_Chahuán
10,Concertación y Juntos Podemos por más Democracia,PDC,"['Andrés', 'Zaldívar', 'Larraín']",86936,31.37,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Zaldívar_Larraín
10,Coalición por el Cambio,UDI,"['Juan', 'Antonio', 'Coloma', 'Correa']",97614,35.22,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa
11,Concertación y Juntos Podemos por más Democracia,PDC,"['Ximena', 'Rincón', 'González']",49241,31.06,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Rincón_González
11,Coalición por el Cambio,UDI,"['Hernán', 'Larraín', 'Fernández']",68354,43.12,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hernán_Larraín_Fernández
14,Concertación y Juntos Podemos por más Democracia,PPD,"['Jaime', 'Quintana', 'Leal']",40120,29.66,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Quintana_Leal
14,Coalición por el Cambio,RN,"['Alberto', 'Espina', 'Otero']",52082,38.51,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Espina_Otero
15,Concertación y Juntos Podemos por más Democracia,PPD,"['Eugenio', 'Tuma', 'Zedan']",74403,29.07,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Tuma_Zedan
15,Coalición por el Cambio,RN,"['José', 'García', 'Ruminot']",57439,22.44,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot
18,Concertación y Juntos Podemos por más Democracia,PDC,"['Patricio', 'Walker', 'Prieto']",11336,27.54,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Walker_Prieto
18,Coalición por el Cambio,RN,"['Antonio', 'Horvath', 'Kiss']",14250,34.62,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Antonio_Horvath_Kiss
