Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
1,Concertación y Juntos Podemos por más Democracia,PS,"['Iván', 'Paredes', 'Fierro']",12084,16.17,,
1,Concertación y Juntos Podemos por más Democracia,IND,"['Orlando', 'Vargas', 'Pizarro']",22425,30.01,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Orlando_Severo_Vargas_Pizarro
1,Coalición por el Cambio,RN,"['Ximena', 'Valcarce', 'Becerra']",15262,20.43,,
1,Coalición por el Cambio,UDI,"['Nino', 'Baltolu', 'Rasera']",17644,23.61,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nino_Baltolu_Rasera
1,Nueva Mayoría para Chile,PH,"['Nelson', 'Silva', 'Orellana']",613,0.82,,
1,Nueva Mayoría para Chile,IND,"['Patricio', 'Barrios', 'Alday']",1029,1.38,,
1,Chile Limpio. Vote Feliz,PRI,"['Jorge', 'Bernabé', 'Seleme', 'Zapata']",489,0.65,,
1,Chile Limpio. Vote Feliz,IND,"['Pilar', 'Mazuela', 'Aguila']",2728,3.65,,
1,Candidatura Independiente,IND,"['Luis', 'Leblanc', 'Valenzuela']",2447,3.27,,
1,Válidamente emitidos,,[],74721,100,,
2,Concertación y Juntos Podemos por más Democracia,PDC,"['Ricardo', 'Hormazábal', 'Sánchez']",3896,4.18,,
2,Concertación y Juntos Podemos por más Democracia,PC,"['Hugo', 'Gutiérrez', 'Gálvez']",28217,30.31,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Humberto_Gutiérrez_Gálvez
2,Coalición por el Cambio,RN,"['Néstor', 'Jofré', 'Núñez']",11537,12.39,,
2,Coalición por el Cambio,IND,"['Marta', 'Isasi', 'Barbieri']",28884,31.02,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marta_Eliana_Isasi_Barbieri
2,Nueva Mayoría para Chile,IND,"['Julio', 'Volenski', 'Burgos']",3191,3.43,,
2,Nueva Mayoría para Chile,IND,"['Patricio', 'Ferreira', 'Rivera']",3741,4.02,,
2,Chile Limpio. Vote Feliz,PRI,"['Fernando', 'Manterola', 'Salas']",7032,7.55,,
2,Chile Limpio. Vote Feliz,PRI,"['Gladys', 'Asunción', 'Pérez', 'Díaz']",6607,7.1,,
2,Válidamente emitidos,,[],93105,100,,
3,Concertación y Juntos Podemos por más Democracia,PRSD,"['Marcos', 'Andrés', 'Espinosa', 'Monardes']",16223,24.62,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Espinosa_Monardes
3,Concertación y Juntos Podemos por más Democracia,PDC,"['Rodolfo', 'Seguel', 'Molina']",7060,10.72,,
3,Coalición por el Cambio,CH1,"['Gerardo', 'Castro', 'Cortés']",1835,2.79,,
3,Coalición por el Cambio,UDI,"['Felipe', 'Ward', 'Edwards']",24618,37.36,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Ward_Edwards
3,Nueva Mayoría para Chile,PH,"['Pablo', 'Onell', 'Aracena']",1064,1.61,,
3,Nueva Mayoría para Chile,IND,"['Julio', 'Ramos', 'Ossandón']",2712,4.12,,
3,Chile Limpio. Vote Feliz,PRI,"['Mirta', 'Jesús', 'Moreno', 'Moreno']",9456,14.35,,
3,Chile Limpio. Vote Feliz,MAS,"['Fernando', 'San Román', 'Bascuñán']",2918,4.43,,
3,Válidamente emitidos,,[],65886,100,,
4,Concertación y Juntos Podemos por más Democracia,PDC,"['Gonzalo', 'Dantagnan', 'Vergara']",7350,6.63,,
4,Concertación y Juntos Podemos por más Democracia,PPD,"['Jorge', 'Molina', 'Cárcamo']",22351,20.16,,
4,Coalición por el Cambio,UDI,"['Manuel', 'Rojas', 'Molina']",37241,33.59,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Rojas_Molina
4,Coalición por el Cambio,CH1,"['Arturo', 'Basadre', 'Reyes']",5935,5.35,,
4,Nueva Mayoría para Chile,PEV,"['María', 'Josefina', 'Barros', 'Aroca']",2977,2.69,,
4,Nueva Mayoría para Chile,PH,"['Pedro', 'Luque', 'Arancibia']",1779,1.6,,
4,Chile Limpio. Vote Feliz,PRI,"['Pedro', 'Araya', 'Guerrero']",27268,24.6,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero
4,Chile Limpio. Vote Feliz,PRI,"['Marcos', 'Simunovic', 'Petricio']",5957,5.37,,
4,Válidamente emitidos,,[],110858,100,,
5,Concertación y Juntos Podemos por más Democracia,PDC,"['Anita', 'Quiroga', 'Araya']",13503,22.11,,
5,Concertación y Juntos Podemos por más Democracia,PC,"['Lautaro', 'Carmona', 'Soto']",17022,27.87,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lautaro_Carmona_Soto
5,Coalición por el Cambio,UDI,"['Carlos', 'Vilches', 'Guzmán']",13159,21.55,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Alfredo_Vilches_Guzmán
5,Coalición por el Cambio,RN,"['René', 'Aedo', 'Ormeño']",10714,17.54,,
5,Nueva Mayoría para Chile,IND,"['Bruce', 'Trench', 'Fontanes']",2199,3.6,,
5,Nueva Mayoría para Chile,PEV,"['Jorge', 'Oporto', 'Marín']",838,1.37,,
5,Chile Limpio. Vote Feliz,IND,"['Miguel', 'Quintana', 'Marco']",1961,3.21,,
5,Chile Limpio. Vote Feliz,PRI,"['Wilson', 'Wastavino', 'Rivera']",1680,2.75,,
5,Válidamente emitidos,,[],61076,100,,
6,Concertación y Juntos Podemos por más Democracia,PRSD,"['Alberto', 'Robles', 'Pantoja']",11582,26.77,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Robles_Pantoja
6,Concertación y Juntos Podemos por más Democracia,PPD,"['Víctor', 'Manuel', 'Rebolledo', 'González']",3612,8.35,,
