Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D1,Concertación y Juntos Podemos por más Democracia,2,34509,46.18,1
D1,Coalición por el Cambio,2,32906,44.04,1
D1,Nueva Mayoría para Chile,2,1642,2.2,0
D1,Chile Limpio. Vote Feliz,2,3217,4.31,0
D1,Candidatura Independiente,1,2447,3.27,0
D1,Válidamente emitidos,0,74721,100.0,0
D2,Concertación y Juntos Podemos por más Democracia,2,32113,34.49,1
D2,Coalición por el Cambio,2,40421,43.41,1
D2,Nueva Mayoría para Chile,2,6932,7.45,0
D2,Chile Limpio. Vote Feliz,2,13639,14.65,0
D2,Válidamente emitidos,0,93105,100.0,0
D3,Concertación y Juntos Podemos por más Democracia,2,23283,35.34,1
D3,Coalición por el Cambio,2,26453,40.15,1
D3,Nueva Mayoría para Chile,2,3776,5.73,0
D3,Chile Limpio. Vote Feliz,2,12374,18.78,0
D3,Válidamente emitidos,0,65886,100.0,0
D4,Concertación y Juntos Podemos por más Democracia,2,29701,26.79,0
D4,Coalición por el Cambio,2,43176,38.95,1
D4,Nueva Mayoría para Chile,2,4756,4.29,0
D4,Chile Limpio. Vote Feliz,2,33225,29.97,1
D4,Válidamente emitidos,0,110858,100.0,0
D5,Concertación y Juntos Podemos por más Democracia,2,30525,49.98,1
D5,Coalición por el Cambio,2,23873,39.09,1
D5,Nueva Mayoría para Chile,2,3037,4.97,0
D5,Chile Limpio. Vote Feliz,2,3641,5.96,0
D5,Válidamente emitidos,0,61076,100.0,0
D6,Concertación y Juntos Podemos por más Democracia,2,15194,35.12,1
D6,Coalición por el Cambio,2,13666,31.59,1
D6,Nueva Mayoría para Chile,0,0,0.0,0
D6,Chile Limpio. Vote Feliz,2,11704,27.06,0
D6,Candidatura Independiente,1,1827,4.22,0
D6,Candidatura Independiente,1,869,2.01,0
D6,Válidamente emitidos,0,43260,100.0,0
D7,Concertación y Juntos Podemos por más Democracia,2,44569,50.12,1
D7,Coalición por el Cambio,2,33651,37.84,1
D7,Nueva Mayoría para Chile,2,2044,2.3,0
D7,Chile Limpio. Vote Feliz,2,8666,9.74,0
D7,Válidamente emitidos,0,88930,100.0,0
D8,Concertación y Juntos Podemos por más Democracia,2,43701,41.08,1
D8,Coalición por el Cambio,2,23851,22.42,0
D8,Nueva Mayoría para Chile,2,7699,7.24,0
D8,Chile Limpio. Vote Feliz,2,5202,4.89,0
D8,Candidatura Independiente,1,25919,24.37,1
D8,Válidamente emitidos,0,106372,100.0,0
D9,Concertación y Juntos Podemos por más Democracia,2,26061,42.98,1
D9,Coalición por el Cambio,2,15153,24.99,0
D9,Nueva Mayoría para Chile,1,831,1.37,0
D9,Chile Limpio. Vote Feliz,2,18591,30.66,1
D9,Válidamente emitidos,0,60636,100.0,0
D10,Concertación y Juntos Podemos por más Democracia,2,42873,31.34,1
D10,Coalición por el Cambio,2,70859,51.8,1
D10,Nueva Mayoría para Chile,2,13207,9.65,0
D10,Chile Limpio. Vote Feliz,1,6584,4.81,0
D10,Candidatura Independiente,1,3282,2.4,0
D10,Válidamente emitidos,0,136805,100.0,0
D11,Concertación y Juntos Podemos por más Democracia,2,53718,50.21,1
D11,Coalición por el Cambio,2,42843,40.04,1
D11,Nueva Mayoría para Chile,2,4494,4.2,0
D11,Chile Limpio. Vote Feliz,0,0,0.0,0
D11,Candidatura Independiente,1,5937,5.55,0
D11,Válidamente emitidos,0,106992,100.0,0
D12,Concertación y Juntos Podemos por más Democracia,2,39149,32.18,1
D12,Coalición por el Cambio,2,60200,49.49,1
D12,Nueva Mayoría para Chile,2,20152,16.57,0
D12,Chile Limpio. Vote Feliz,2,2149,1.77,0
D12,Válidamente emitidos,0,121650,100.0,0
D13,Concertación y Juntos Podemos por más Democracia,2,59527,45.53,1
D13,Coalición por el Cambio,2,60422,46.21,1
D13,Nueva Mayoría para Chile,2,8594,6.57,0
D13,Chile Limpio. Vote Feliz,2,2208,1.69,0
D13,Válidamente emitidos,0,130751,100.0,0
D14,Concertación y Juntos Podemos por más Democracia,2,64082,40.3,1
D14,Coalición por el Cambio,2,77971,49.04,1
D14,Nueva Mayoría para Chile,2,5325,3.35,0
D14,Chile Limpio. Vote Feliz,1,4911,3.09,0
D14,Candidatura Independiente,1,6715,4.22,0
D14,Válidamente emitidos,0,159004,100.0,0
D15,Concertación y Juntos Podemos por más Democracia,2,25933,30.24,1
D15,Coalición por el Cambio,2,36047,42.03,1
D15,Nueva Mayoría para Chile,2,5260,6.13,0
D15,Chile Limpio. Vote Feliz,2,1413,1.65,0
D15,Candidatura Independiente,1,2485,2.9,0
D15,Candidatura Independiente,1,14622,17.05,0
D15,Válidamente emitidos,0,85760,100.0,0
D16,Concertación y Juntos Podemos por más Democracia,2,86982,52.88,1
D16,Coalición por el Cambio,2,72135,43.86,1
D16,Nueva Mayoría para Chile,1,5358,3.26,0
D16,Chile Limpio. Vote Feliz,0,0,0.0,0
D16,Válidamente emitidos,0,164475,100.0,0
D17,Concertación y Juntos Podemos por más Democracia,2,65428,46.58,1
D17,Coalición por el Cambio,2,61889,44.06,1
D17,Nueva Mayoría para Chile,1,4811,3.42,0
D17,Chile Limpio. Vote Feliz,2,8341,5.94,0
D17,Válidamente emitidos,0,140469,100.0,0
D18,Concertación y Juntos Podemos por más Democracia,2,70400,46.8,1
D18,Coalición por el Cambio,2,47733,31.73,1
D18,Nueva Mayoría para Chile,2,3842,2.55,0
D18,Chile Limpio. Vote Feliz,2,23528,15.64,0
D18,Candidatura Independiente,1,4922,3.27,0
D18,Válidamente emitidos,0,150425,100.0,0
D19,Concertación y Juntos Podemos por más Democracia,2,52455,51.1,1
D19,Coalición por el Cambio,2,43445,42.33,1
D19,Nueva Mayoría para Chile,2,3080,3.0,0
D19,Chile Limpio. Vote Feliz,2,3662,3.57,0
D19,Válidamente emitidos,0,102642,100.0,0
D20,Concertación y Juntos Podemos por más Democracia,2,74543,30.87,1
D20,Coalición por el Cambio,2,94464,39.12,1
D20,Nueva Mayoría para Chile,2,69183,28.65,0
D20,Chile Limpio. Vote Feliz,2,3256,1.35,0
D20,Válidamente emitidos,0,241446,100.0,0
D21,Concertación y Juntos Podemos por más Democracia,2,68435,38.48,1
D21,Coalición por el Cambio,2,95745,53.84,1
D21,Nueva Mayoría para Chile,2,10112,5.69,0
D21,Chile Limpio. Vote Feliz,1,3547,1.99,0
D21,Válidamente emitidos,0,177839,100.0,0
D22,Concertación y Juntos Podemos por más Democracia,2,51078,46.95,1
D22,Coalición por el Cambio,2,48645,44.72,1
