Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
1,Concertación y Juntos Podemos por más Democracia,PS,1,12084,16.17,0
1,Coalición por el Cambio,RN,1,15262,20.43,0
1,Coalición por el Cambio,UDI,1,17644,23.61,1
1,Nueva Mayoría para Chile,PH,1,613,0.82,0
1,Chile Limpio. Vote Feliz,PRI,1,489,0.65,0
1,Candidatura Independiente,IND,1,2447,3.27,0
1,Válidamente emitidos,,0,74721,100.0,0
2,Concertación y Juntos Podemos por más Democracia,PDC,1,3896,4.18,0
2,Concertación y Juntos Podemos por más Democracia,PC,1,28217,30.31,1
2,Coalición por el Cambio,RN,1,11537,12.39,0
2,Chile Limpio. Vote Feliz,PRI,2,13639,14.65,0
2,Válidamente emitidos,,0,93105,100.0,0
3,Concertación y Juntos Podemos por más Democracia,PRSD,1,16223,24.62,1
3,Concertación y Juntos Podemos por más Democracia,PDC,1,7060,10.72,0
3,Coalición por el Cambio,CH1,1,1835,2.79,0
3,Coalición por el Cambio,UDI,1,24618,37.36,1
3,Nueva Mayoría para Chile,PH,1,1064,1.61,0
3,Chile Limpio. Vote Feliz,PRI,1,9456,14.35,0
3,Chile Limpio. Vote Feliz,MAS,1,2918,4.43,0
3,Válidamente emitidos,,0,65886,100.0,0
4,Concertación y Juntos Podemos por más Democracia,PPD,1,22351,20.16,0
4,Concertación y Juntos Podemos por más Democracia,PDC,1,7350,6.63,0
4,Coalición por el Cambio,CH1,1,5935,5.35,0
4,Coalición por el Cambio,UDI,1,37241,33.59,1
4,Nueva Mayoría para Chile,PEV,1,2977,2.69,0
4,Nueva Mayoría para Chile,PH,1,1779,1.6,0
4,Chile Limpio. Vote Feliz,PRI,2,33225,29.97,1
4,Válidamente emitidos,,0,110858,100.0,0
5,Concertación y Juntos Podemos por más Democracia,PDC,1,13503,22.11,0
5,Concertación y Juntos Podemos por más Democracia,PC,1,17022,27.87,1
5,Coalición por el Cambio,RN,1,10714,17.54,0
5,Coalición por el Cambio,UDI,1,13159,21.55,1
5,Nueva Mayoría para Chile,PEV,1,838,1.37,0
5,Chile Limpio. Vote Feliz,PRI,1,1680,2.75,0
5,Válidamente emitidos,,0,61076,100.0,0
6,Concertación y Juntos Podemos por más Democracia,PPD,1,3612,8.35,0
6,Concertación y Juntos Podemos por más Democracia,PRSD,1,11582,26.77,1
6,Coalición por el Cambio,CH1,1,5336,12.33,0
6,Coalición por el Cambio,UDI,1,8330,19.26,1
6,Chile Limpio. Vote Feliz,MAS,1,5547,12.82,0
6,Chile Limpio. Vote Feliz,PRI,1,6157,14.23,0
6,Candidatura Independiente,IND,1,1827,4.22,0
6,Candidatura Independiente,IND,1,869,2.01,0
6,Válidamente emitidos,,0,43260,100.0,0
7,Concertación y Juntos Podemos por más Democracia,PDC,1,11896,13.38,0
7,Concertación y Juntos Podemos por más Democracia,PS,1,32673,36.74,1
7,Coalición por el Cambio,RN,1,18037,20.28,1
7,Coalición por el Cambio,UDI,1,15614,17.56,0
7,Nueva Mayoría para Chile,PH,1,1154,1.3,0
7,Chile Limpio. Vote Feliz,PRI,1,5295,5.95,0
7,Válidamente emitidos,,0,88930,100.0,0
8,Concertación y Juntos Podemos por más Democracia,PS,1,14753,13.87,0
8,Concertación y Juntos Podemos por más Democracia,PDC,1,28948,27.21,1
8,Coalición por el Cambio,CH1,1,4915,4.62,0
8,Coalición por el Cambio,UDI,1,18936,17.8,0
8,Candidatura Independiente,IND,1,25919,24.37,1
8,Válidamente emitidos,,0,106372,100.0,0
9,Concertación y Juntos Podemos por más Democracia,PPD,1,15332,25.29,1
9,Concertación y Juntos Podemos por más Democracia,PDC,1,10729,17.69,0
9,Coalición por el Cambio,UDI,1,12219,20.15,0
9,Nueva Mayoría para Chile,PH,1,831,1.37,0
9,Chile Limpio. Vote Feliz,PRI,2,18591,30.66,1
9,Válidamente emitidos,,0,60636,100.0,0
10,Concertación y Juntos Podemos por más Democracia,PS,1,12856,9.4,0
10,Concertación y Juntos Podemos por más Democracia,PDC,1,30017,21.94,1
10,Coalición por el Cambio,RN,1,34859,25.48,0
10,Chile Limpio. Vote Feliz,PRI,1,6584,4.81,0
10,Candidatura Independiente,IND,1,3282,2.4,0
10,Válidamente emitidos,,0,136805,100.0,0
11,Concertación y Juntos Podemos por más Democracia,PPD,1,49801,46.55,1
11,Concertación y Juntos Podemos por más Democracia,PC,1,3917,3.66,0
11,Coalición por el Cambio,RN,1,21634,20.22,1
11,Coalición por el Cambio,UDI,1,21209,19.82,0
11,Nueva Mayoría para Chile,PH,1,1081,1.01,0
11,Candidatura Independiente,IND,1,5937,5.55,0
11,Válidamente emitidos,,0,106992,100.0,0
12,Concertación y Juntos Podemos por más Democracia,PS,1,24124,19.83,1
12,Concertación y Juntos Podemos por más Democracia,PRSD,1,15025,12.35,0
12,Coalición por el Cambio,RN,1,30092,24.74,0
12,Coalición por el Cambio,UDI,1,30108,24.75,1
12,Nueva Mayoría para Chile,PH,1,2598,2.14,0
12,Chile Limpio. Vote Feliz,PRI,2,2149,1.77,0
12,Válidamente emitidos,,0,121650,100.0,0
13,Concertación y Juntos Podemos por más Democracia,PPD,1,18945,14.49,0
13,Concertación y Juntos Podemos por más Democracia,PDC,1,40582,31.04,1
13,Coalición por el Cambio,RN,1,38183,29.2,1
13,Nueva Mayoría para Chile,PH,1,2743,2.1,0
13,Chile Limpio. Vote Feliz,PRI,2,2208,1.69,0
13,Válidamente emitidos,,0,130751,100.0,0
14,Concertación y Juntos Podemos por más Democracia,PRSD,1,22914,14.41,0
14,Concertación y Juntos Podemos por más Democracia,PPD,1,41168,25.89,1
14,Coalición por el Cambio,RN,1,32142,20.21,0
14,Coalición por el Cambio,UDI,1,45829,28.82,1
