Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
1,Nueva Mayoría,PS,"('Luis', 'Rocafull', 'Lopez')",15064.0,22.42,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Rocafull_López
1,"Si tú quieres, Chile cambia",PL,"('Vlado', 'Mirosevic', 'Verdugo')",14301.0,21.28,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vlado_Mirosevic_Verdugo
2,Alianza,UDI,"('Renzo', 'Trisotti', 'Martinez')",20818.0,25.8,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renzo_Aldo_Trisotti_Martínez
2,Nueva Mayoría,PC,"('Hugo', 'Gutierrez', 'Galvez')",23238.0,28.79,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Humberto_Gutiérrez_Gálvez
3,Alianza,UDI,"('Felipe', 'Ward', 'Edwards')",14604.0,24.12,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Ward_Edwards
3,Nueva Mayoría,PRSD,"('Marcos', 'Andres', 'Espinosa', 'Monardes')",16877.0,27.87,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcos_Espinosa_Monardes
4,Alianza,RN,"('Paulina', 'Nuñez', 'Urrutia')",20565.0,19.63,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Paulina_Andrea_Núñez_Urrutia
4,Nueva Mayoría,PRSD,"('Marcela', 'Hernando', 'Perez')",27226.0,25.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Ximena_Hernando_Pérez
5,Nueva Mayoría,PC,"('Lautaro', 'Carmona', 'Soto')",23293.0,41.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lautaro_Carmona_Soto
5,Nueva Mayoría,IND,"('Daniella', 'Cicardini', 'Milla')",13382.0,24.07,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniella_Valentina_Cicardini_Milla
6,Nueva Mayoría,PRSD,"('Alberto', 'Robles', 'Pantoja')",5055.0,13.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Robles_Pantoja
6,Nueva Mayoría,PDC,"('Yasna', 'Provoste', 'Campillay')",16694.0,43.91,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Yasna_Provoste_Campillay
7,Alianza,UDI,"('Sergio', 'Gahona', 'Salazar')",20507.0,23.8,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Alfredo_Gahona_Salazar
7,Nueva Mayoría,PS,"('Raul', 'Saldivar', 'Auger')",25764.0,29.91,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Raúl_Fernando_Saldívar_Auger
8,Nueva Mayoría,PDC,"('Matias', 'Walker', 'Prieto')",38573.0,38.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Matías_Walker_Prieto
8,Nueva Mayoría,PC,"('Daniel', 'Nuñez', 'Arancibia')",13394.0,13.37,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Ignacio_Núñez_Arancibia
9,Nueva Mayoría,PS,"('Luis', 'Lemus', 'Aracena')",23802.0,43.78,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Segundo_Lemus_Aracena
9,Nueva Mayoría,PPD,"('Jorge', 'Insunza', 'Gregorio de las Heras')",15474.0,28.46,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Insunza_Gregorio_de_Las_Heras
9,Nueva Mayoría,PPD,"('Miguel', 'Ángel', 'Alvarado', 'Ramírez')",0.0,0.0,,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ángel_Alvarado_Ramírez
10,Alianza,UDI,"('Andrea', 'Molina', 'Oliva')",40790.0,33.52,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrea_Molina_Oliva
10,Nueva Mayoría,PS,"('Christian', 'Urizar', 'Muñoz')",31353.0,25.76,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Christian_Erwin_Urízar_Muñoz
11,Alianza,RN,"('Gaspar', 'Rivas', 'Sanchez')",23826.0,24.26,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gaspar_Alberto_Rivas_Sánchez
11,Nueva Mayoría,PPD,"('Marco', 'Antonio', 'Nuñez', 'Lozano')",48097.0,48.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Núñez_Lozano
12,Alianza,UDI,"('Arturo', 'Squella', 'Ovalle')",32570.0,27.98,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Squella_Ovalle
12,Nueva Mayoría,PS,"('Marcelo', 'Schilling', 'Rodriguez')",29198.0,25.08,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Schilling_Rodríguez
13,Alianza,RN,"('Joaquin', 'Godoy', 'Ibañez')",24987.0,21.56,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_Godoy_Ibáñez
13,Nueva Mayoría,PDC,"('Aldo', 'Cornejo', 'Gonzalez')",34406.0,29.69,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González
14,Alianza,UDI,"('Osvaldo', 'Urrutia', 'Soto')",38005.0,26.44,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Alejandro_Nicanor_Urrutia_Soto
14,Nueva Mayoría,PPD,"('Rodrigo', 'Gonzalez', 'Torres')",40303.0,28.04,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_René_González_Torres
15,Alianza,UDI,"('Maria', 'Jose', 'Hoffmann', 'Opazo')",21870.0,28.48,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_José_Hoffmann_Opazo
15,Nueva Mayoría,PDC,"('Victor', 'Torres', 'Jeldes')",27561.0,35.89,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Marcelo_Torres_Jeldes
16,Alianza,UDI,"('Patricio', 'Melero', 'Abaroa')",39449.0,23.54,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa
16,Nueva Mayoría,PDC,"('Gabriel', 'Silber', 'Romo')",64696.0,38.6,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Silber_Romo
17,Alianza,RN,"('Karla', 'Rubilar', 'Barahona')",35402.0,27.33,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karla_Rubilar_Barahona
17,Nueva Mayoría,PPD,"('Daniel', 'Alejandro', 'Farcas', 'Guendelman')",32467.0,25.06,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Alejandro_Farcas_Guendelman
18,Alianza,RN,"('Nicolas', 'Monckeberg', 'Diaz')",39100.0,28.75,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nicolás_Monckeberg_Díaz
18,Nueva Mayoría,PPD,"('Cristina', 'Girardi', 'Lavin')",61874.0,45.5,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristina_Girardi_Lavín
19,Alianza,UDI,"('Claudia', 'Nogueira', 'Fernandez')",23391.0,25.16,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudia_Nogueira_Fernández
19,Nueva Mayoría,PC,"('Karol', 'Cariola', 'Oliva')",35706.0,38.4,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karol_Aída_Cariola_Oliva
20,Alianza,UDI,"('Joaquin', 'Lavin', 'Leon')",58180.0,23.71,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Joaquín_José_Lavín_León
20,Nueva Mayoría,PPD,"('Pepe', 'Auth', 'Stewart')",82856.0,33.77,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pepe_Auth_Stewart
21,Alianza,RN,"('Marcela', 'Sabat', 'Fernandez')",53135.0,28.58,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Constanza_Sabat_Fernández
21,Nueva Mayoría,PS,"('Maya', 'Fernandez', 'Allende')",58186.0,31.3,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maya_Alejandra_Fernández_Allende
22,Alianza,IND,"('Felipe', 'Kast', 'Sommerhoff')",22431.0,19.55,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_José_Kast_Sommerhoff
22,Candidatura Independiente,IND,"('Giorgio', 'Jackson', 'Drago')",55259.0,48.17,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Kenneth_Giorgio_Jackson_Drago
