Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url_x,url_y,url
1,Chile Vamos,UDI,"('Nino', 'Baltolu', 'Rasera')",9272.0,13.02,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nino_Baltolu_Rasera,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nino_Baltolu_Rasera,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nino_Baltolu_Rasera
1,Frente Amplio,PL,"('Vlado', 'Mirosevic', 'Verdugo')",24273.0,34.09,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vlado_Mirosevic_Verdugo,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vlado_Mirosevic_Verdugo,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Vlado_Mirosevic_Verdugo
1,La Fuerza de la Mayoría,PS,"('Luis', 'Rocafull', 'Lopez')",6430.0,9.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Rocafull_López,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Rocafull_López,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Alberto_Rocafull_López
2,Chile Vamos,UDI,"('Renzo', 'Trisotti', 'Martinez')",20084.0,22.22,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renzo_Aldo_Trisotti_Martínez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renzo_Aldo_Trisotti_Martínez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Renzo_Aldo_Trisotti_Martínez
2,Chile Vamos,RN,"('Ramon', 'Galleguillos', 'Castillo')",17279.0,19.11,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Ernesto_Galleguillos_Castillo,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Ernesto_Galleguillos_Castillo,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Ernesto_Galleguillos_Castillo
2,La Fuerza de la Mayoría,PC,"('Hugo', 'Gutierrez', 'Galvez')",14332.0,15.85,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Humberto_Gutiérrez_Gálvez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Humberto_Gutiérrez_Gálvez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Hugo_Humberto_Gutiérrez_Gálvez
2,La Fuerza de la Mayoría,PC,"('Rubén', 'Moraga', 'Mamani')",0.0,0.0,,*,,,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rubén_Joaquín_Moraga_Mamani
3,Chile Vamos,RN,"('Jose', 'Miguel', 'Castro', 'Bascuñan')",5183.0,3.19,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Castro_Bascuñán,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Castro_Bascuñán,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Castro_Bascuñán
3,Chile Vamos,RN,"('Paulina', 'Nuñez', 'Urrutia')",37768.0,23.26,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Paulina_Andrea_Núñez_Urrutia,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Paulina_Andrea_Núñez_Urrutia,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Paulina_Andrea_Núñez_Urrutia
3,Coalición Regionalista Verde,FREVS,"('Esteban', 'Jorge', 'Velasquez', 'Nuñez')",10067.0,6.2,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Esteban_Jorge_Velásquez_Núñez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Esteban_Jorge_Velásquez_Núñez,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Esteban_Jorge_Velásquez_Núñez
