Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Antofagasta,Chile Podemos +,RN,2,28130,13.81,1
Antofagasta,Chile Podemos +,UDI,2,13079,6.42,0
Antofagasta,Chile Podemos +,EVOPOLI,0,0,0.0,0
Antofagasta,Chile Podemos +,PRI,0,0,0.0,0
Antofagasta,Partido de la Gente,PDG,3,32113,15.76,0
Antofagasta,Partido de Trabajadores Revolucionarios,PTR,2,4748,2.33,0
Antofagasta,Nuevo Pacto Social,PL,0,0,0.0,0
Antofagasta,Nuevo Pacto Social,PS,1,1931,0.95,0
Antofagasta,Nuevo Pacto Social,PR,1,14636,7.18,0
Antofagasta,Nuevo Pacto Social,PPD,1,24266,11.91,1
Antofagasta,Nuevo Pacto Social,PDC,1,2000,0.98,0
Antofagasta,Partido Ecologista Verde,PEV,0,0,0.0,0
Antofagasta,Unión Patriótica,UPA,0,0,0.0,0
Antofagasta,Dignidad Ahora,IGUALDAD,2,3805,1.87,0
Antofagasta,Dignidad Ahora,PH,0,0,0.0,0
Antofagasta,Frente Social Cristiano,REPUBLICANO,0,0,0.0,0
Antofagasta,Frente Social Cristiano,PCC,0,0,0.0,0
Antofagasta,Apruebo Dignidad,COMUNES,0,0,0.0,0
Antofagasta,Apruebo Dignidad,RD,1,3419,1.68,0
Antofagasta,Apruebo Dignidad,CS,0,0,0.0,0
Antofagasta,Apruebo Dignidad,FREVS,2,43070,21.14,1
Antofagasta,Apruebo Dignidad,PC,1,5750,2.82,0
Antofagasta,Independientes Unidos,CU,2,10226,5.02,0
Antofagasta,Independientes Unidos,PNC,0,0,0.0,0
Antofagasta,Válidamente emitidos,,0,187173,91.88,0
Antofagasta,Nulos,,0,10267,5.04,0
Antofagasta,Blancos,,0,6269,3.08,0
Antofagasta,Total,,0,203709,100.0,0
Coquimbo,Chile Podemos +,EVOPOLI,0,0,0.0,0
Coquimbo,Chile Podemos +,PRI,1,14382,5.39,0
Coquimbo,Chile Podemos +,UDI,2,36993,13.85,1
Coquimbo,Chile Podemos +,RN,1,14908,5.58,0
Coquimbo,Partido de la Gente,PDG,2,31561,11.82,0
Coquimbo,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
Coquimbo,Nuevo Pacto Social,PS,0,0,0.0,0
Coquimbo,Nuevo Pacto Social,PR,0,0,0.0,0
Coquimbo,Nuevo Pacto Social,PPD,1,18852,7.06,0
Coquimbo,Nuevo Pacto Social,PL,0,0,0.0,0
Coquimbo,Nuevo Pacto Social,PDC,1,26186,9.81,1
Coquimbo,Partido Ecologista Verde,PEV,0,0,0.0,0
Coquimbo,Unión Patriótica,UPA,0,0,0.0,0
Coquimbo,Dignidad Ahora,PH,0,0,0.0,0
Coquimbo,Dignidad Ahora,IGUALDAD,2,6883,2.58,0
Coquimbo,Frente Social Cristiano,REPUBLICANO,0,0,0.0,0
Coquimbo,Frente Social Cristiano,PCC,0,0,0.0,0
Coquimbo,Apruebo Dignidad,COMUNES,1,1539,0.58,0
Coquimbo,Apruebo Dignidad,CS,1,33033,12.37,0
Coquimbo,Apruebo Dignidad,FREVS,1,7941,2.97,0
Coquimbo,Apruebo Dignidad,PC,1,39414,14.76,1
Coquimbo,Apruebo Dignidad,RD,0,0,0.0,0
Coquimbo,Independientes Unidos,CU,1,11939,4.47,0
Coquimbo,Independientes Unidos,PNC,0,0,0.0,0
Coquimbo,Válidamente emitidos,,0,243631,91.24,0
Coquimbo,Nulos,,0,11580,4.34,0
Coquimbo,Blancos,,0,11818,4.43,0
Coquimbo,Total,,0,267029,100.0,0
Santiago,Chile Podemos +,UDI,2,36864,1.27,0
Santiago,Chile Podemos +,RN,2,389635,13.42,1
Santiago,Chile Podemos +,PRI,0,0,0.0,0
Santiago,Chile Podemos +,EVOPOLI,2,283589,9.77,1
Santiago,Partido de la Gente,PDG,6,154418,5.32,0
Santiago,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
Santiago,Nuevo Pacto Social,PDC,2,83121,2.86,0
Santiago,Nuevo Pacto Social,PL,1,26107,0.9,0
Santiago,Nuevo Pacto Social,PPD,2,25613,0.88,0
Santiago,Nuevo Pacto Social,PR,0,0,0.0,0
Santiago,Nuevo Pacto Social,PS,1,71169,2.45,0
Santiago,Partido Ecologista Verde,PEV,3,132062,4.55,0
Santiago,Unión Patriótica,UPA,3,30540,1.05,0
Santiago,Dignidad Ahora,IGUALDAD,3,55554,1.91,0
Santiago,Dignidad Ahora,PH,2,14880,0.51,0
Santiago,Frente Social Cristiano,REPUBLICANO,6,336532,11.59,1
Santiago,Frente Social Cristiano,PCC,0,0,0.0,0
Santiago,Apruebo Dignidad,COMUNES,2,157339,5.42,0
Santiago,Apruebo Dignidad,RD,2,101833,3.51,0
Santiago,Apruebo Dignidad,PC,2,241587,8.32,1
Santiago,Apruebo Dignidad,FREVS,0,0,0.0,0
Santiago,Apruebo Dignidad,CS,0,0,0.0,0
Santiago,Independientes Unidos,PNC,0,0,0.0,0
Santiago,Independientes Unidos,CU,3,111630,3.85,0
Santiago,Candidatura Independiente,IND,1,402784,13.87,1
Santiago,Válidamente emitidos,,0,2655257,91.47,0
Santiago,Nulos,,0,130457,4.49,0
Santiago,Blancos,,0,117258,4.04,0
Santiago,Total,,0,2902972,100.0,0
O'Higgins,Chile Podemos +,EVOPOLI,0,0,0.0,0
O'Higgins,Chile Podemos +,PRI,0,0,0.0,0
O'Higgins,Chile Podemos +,UDI,2,70890,19.22,1
O'Higgins,Chile Podemos +,RN,2,21975,5.96,0
O'Higgins,Partido de la Gente,PDG,3,30081,8.16,0
O'Higgins,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
O'Higgins,Nuevo Pacto Social,PDC,1,7433,2.02,0
O'Higgins,Nuevo Pacto Social,PS,1,51428,13.95,1
O'Higgins,Nuevo Pacto Social,PPD,0,0,0.0,0
O'Higgins,Nuevo Pacto Social,PL,0,0,0.0,0
O'Higgins,Nuevo Pacto Social,PR,1,13737,3.73,0
O'Higgins,Partido Ecologista Verde,PEV,0,0,0.0,0
O'Higgins,Unión Patriótica,UPA,1,4100,1.11,0
O'Higgins,Dignidad Ahora,IGUALDAD,0,0,0.0,0
O'Higgins,Dignidad Ahora,PH,0,0,0.0,0
O'Higgins,Frente Social Cristiano,PCC,0,0,0.0,0
O'Higgins,Frente Social Cristiano,REPUBLICANO,0,0,0.0,0
O'Higgins,Apruebo Dignidad,RD,0,0,0.0,0
O'Higgins,Apruebo Dignidad,PC,1,9444,2.56,0
O'Higgins,Apruebo Dignidad,FREVS,2,129415,35.1,1
O'Higgins,Apruebo Dignidad,COMUNES,0,0,0.0,0
O'Higgins,Apruebo Dignidad,CS,0,0,0.0,0
O'Higgins,Independientes Unidos,PNC,0,0,0.0,0
O'Higgins,Independientes Unidos,CU,0,0,0.0,0
O'Higgins,Válidamente emitidos,,0,338503,91.8,0
O'Higgins,Nulos,,0,13968,3.79,0
O'Higgins,Blancos,,0,16285,4.42,0
O'Higgins,Total,,0,368756,100.0,0
Ñuble,Chile Podemos +,UDI,2,52084,26.86,1
Ñuble,Chile Podemos +,RN,0,0,0.0,0
Ñuble,Chile Podemos +,PRI,1,4289,2.21,0
Ñuble,Chile Podemos +,EVOPOLI,0,0,0.0,0
Ñuble,Partido de la Gente,PDG,2,15132,7.8,0
Ñuble,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
Ñuble,Nuevo Pacto Social,PPD,1,43294,22.32,1
Ñuble,Nuevo Pacto Social,PR,0,0,0.0,0
Ñuble,Nuevo Pacto Social,PL,0,0,0.0,0
Ñuble,Nuevo Pacto Social,PDC,1,32764,16.89,0
