Distrito,1829,1831,1834,1837,1840,1843,1846,1849,1852,1855,1858,1861,1864,1867,1870,1873,1876,1879,1882,1885,1888
Pisagua,,,,,,,,,,,,,,,,,,,,1,1
Tarapacá,,,,,,,,,,,,,,,,,,,,1,1
Antofagasta,,,,,,,,,,,,,,,,,,,,0,1
Taltal,,,,,,,,,,,,,,,,,,,,1,1
Copiapó,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Caldera,,,,,,,,,,,,,,0,1,1,,,,,
Vallenar,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
Freirina,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
La Serena,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Coquimbo,,,,,,,,,,,,,,0,0,1,1,1,1,1,1
Elqui,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Ovalle,,,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
Combarbalá,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Illapel,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Petorca,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
La Ligua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Los Andes,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
San Felipe,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Aconcagua,1,1,,,,,,,,,,,,,,,,,,,
Putaendo,,,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Quillota,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Limache,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Valparaíso,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1
Casablanca,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
Santiago,1,1,3,2,3,0,3,3,2,3,3,3,2,4,4,4,1,1,0,1,1
La Victoria,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Melipilla,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Maipo,,,,,,,,,,,,,,,,,,,,1,1
Rancagua,1,1,1,0,1,1,1,1,1,2,1,1,2,2,2,3,1,1,1,1,1
Cachapoal,,,,,,,,,,,,,,,,,,,,1,1
Caupolicán,,,1,1,1,1,1,1,1,2,1,2,0,2,2,2,1,1,1,1,1
San Fernando,1,1,2,0,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1
Vichuquén,,,,,,,,,,,,,,0,1,1,1,1,1,1,1
Curicó,0,0,1,0,1,1,0,1,1,2,2,2,2,1,2,1,1,1,1,1,1
Talca,1,0,0,0,1,1,0,1,1,2,2,2,0,0,1,1,0,1,1,1,1
Curepto,,,,,,,,,,,,,,,,,,,,1,1
Lontué,,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1
Linares,1,1,1,0,1,1,1,1,1,1,0,1,1,2,2,2,1,1,0,1,1
Loncomilla,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Parral,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1
Cauquenes,0,1,1,1,0,1,1,1,1,2,0,2,2,2,2,2,1,2,1,1,1
Constitución,,,,,,,,,,,,,,1,1,1,1,0,1,1,1
Itata,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
San Carlos,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
Chillán,0,0,1,0,1,1,1,0,1,0,1,2,2,1,2,2,0,1,1,1,1
Bulnes,,,,,,,,,,,,,,,,,,,,1,1
Yungay,,,,,,,,,,,,,,,,,,,,1,1
Coelemu,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
Puchacay,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
Rere,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Lautaro,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
Concepción,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Arauco,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Lebu,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Cañete,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Nacimiento,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Laja,,,,,,,,,,1,1,1,0,1,0,1,1,0,1,1,1
Los Ángeles,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Mulchén,,,,,,,,,,,,,,1,0,1,1,1,1,1,1
Angol,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Collipulli,,,,,,,,,,,,,,,,,,,,,1
Traiguén,,,,,,,,,,,,,,,,,,,,,1
Temuco,,,,,,,,,,,,,,,,,,,,,1
Imperial,,,,,,,,,,,,,,,,,,,,,1
Valdivia,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
La Unión,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Osorno,0,1,0,0,1,1,0,1,1,1,1,1,,0,1,1,1,1,1,1,1
Llanquihue,,,,,,,,,,,,,1,0,0,0,1,1,1,1,1
Carelmapu,,,,,,,,,,,,,1,1,1,1,1,1,0,0,1
Quinchao,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Ancud,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,,,,,1
Castro,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
