Distrito,1828,1829,1831,1834,1837,1840,1843,1846,1849,1852,1855,1858,1861,1864,1867,1870,1873,1876,1879,1882,1885,1888
Pisagua,,,,,,,,,,,,,,,,,,,,,1,1
Tarapacá,,,,,,,,,,,,,,,,,,,,,2,2
Antofagasta,,,,,,,,,,,,,,,,,,,,,1,1
Taltal,,,,,,,,,,,,,,,,,,,,,1,1
Copiapó,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Caldera,,,,,,,,,,,,,,,1,1,1,,,,,
Vallenar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freirina,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
La Serena,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Coquimbo,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Elqui,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ovalle,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3
Combarbalá,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Illapel,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1
Petorca,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
La Ligua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Los Andes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2
San Felipe,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Aconcagua,2,2,2,,,,,,,,,,,,,,,,,,,
Putaendo,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quillota,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Limache,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Valparaíso,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,5,5,5,5,6
Casablanca,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Santiago,5,7,7,7,6,7,7,7,7,7,6,6,6,6,8,8,8,10,10,9,10,12
La Victoria,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2
Melipilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3
Maipo,,,,,,,,,,,,,,,,,,,,,1,1
Rancagua,1,2,1,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,2,2
Cachapoal,,,,,,,,,,,,,,,,,,,,,1,1
Caupolicán,,,,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
San Fernando,3,5,5,3,2,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Vichuquén,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2
Curicó,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,3,3,3,3
Talca,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,4,4,3,3
Curepto,,,,,,,,,,,,,,,,,,,,,1,1
Lontué,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2
Linares,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2
Loncomilla,,,,,,,,,,,,,,,0,0,0,1,1,1,1,2
Parral,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,4,2,2,1
Cauquenes,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,4,2,2,2
Constitución,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2
Itata,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
San Carlos,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2
Chillán,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,3,3
Bulnes,,,,,,,,,,,,,,,,,,,,,1,1
Yungay,,,,,,,,,,,,,,,,,,,,,1,1
Coelemu,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1,1,1,2
Puchacay,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,1
Rere,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Lautaro,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Concepción,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Arauco,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Lebu,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Cañete,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Nacimiento,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Laja,,,,,,,,,,,0,1,1,1,2,2,2,2,2,2,2,2
Los Ángeles,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,
Mulchén,,,,,,,,,,,,,,,2,2,2,1,1,1,1,2
Angol,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1
Collipulli,,,,,,,,,,,,,,,,,,,,,,1
Traiguén,,,,,,,,,,,,,,,,,,,,,,1
Temuco,,,,,,,,,,,,,,,,,,,,,,1
Imperial,,,,,,,,,,,,,,,,,,,,,,1
Valdivia,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
La Unión,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
Osorno,0,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
Llanquihue,,,,,,,,,,,,,,1,0,0,0,1,1,1,1,1
Carelmapu,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Quinchao,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1
Ancud,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1
Castro,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
