Distrito,1891,1909,1912
Tarapacá,2,2,4
Antofagasta,2,2,2
Taltal,,,2
Copiapó,3,3,3
La Serena,3,3,3
Ovalle,4,4,4
Petorca,2,2,2
San Felipe,3,3,3
Quillota,3,3,3
Valparaíso,4,4,7
Santiago,8,8,13
La Victoria,3,3,4
Rancagua,3,3,3
Caupolicán,3,3,3
San Fernando,3,3,3
Curicó,3,3,2
Santa Cruz,,1,2
Talca,4,4,3
Lontué,,,2
Linares,4,4,2
Parral,,,2
Constitución,3,3,3
Itata,2,2,2
San Carlos,,,2
Chillán,3,3,2
Yungay,2,2,2
Coelemu,,,2
Rere,3,3,3
Concepción,4,4,2
Lautaro,,,1
Arauco,3,3,3
Laja,4,4,4
Angol,3,3,2
Collipulli,,,2
Temuco,2,3,4
Valdivia,2,2,4
Osorno,3,3,2
Llanquihue,,,2
Ancud,3,3,2
Castro,,,2
