Distrito,1925,1930,1932,1937,1941,1969
Tarapacá,4,5,4,4,4,4
Antofagasta,6,6,7,7,7,7
Atacama,2,2,2,2,2,2
Coquimbo,7,7,7,7,7,7
Aconcagua,5,5,3,3,3,3
Valparaíso,11,11,12,12,12,12
Santiago,18,18,,,,
Santiago-1,,,18,18,18,18
Santiago-2,,,5,5,5,5
Santiago-3,,,5,5,5,5
Santiago-4,,,4,5,5,5
La Victoria,5,5,,,,
O'Higgins,4,4,6,6,6,6
Colchagua,6,6,4,4,4,4
Curicó,4,4,3,3,3,3
Talca,5,5,4,5,5,5
Maule,4,4,2,3,3,3
Linares,4,4,4,4,4,4
Ñuble,6,6,,,,
Ñuble-1,,,3,3,3,3
Ñuble-2,,,5,5,5,5
Concepción,5,5,7,9,9,9
Puchacay,4,4,,,,
Arauco,3,3,4,2,2,2
Bío-Bío,4,4,6,6,4,4
Malleco,4,4,4,4,6,6
Cautín,6,6,9,9,10,10
Valdivia,7,7,8,8,5,5
Osorno,,,,,3,3
Llanquihue,4,4,,,,3
Llanquihue y Aysén,,,3,3,3,
Chiloé,4,4,3,3,3,3
Aysén,,,,,,2
Magallanes,,,1,1,1,2
